vorname;anzahl;geschlecht
Marie;150;w
Sophie;123;w
Maria;89;w
Alexander;88;m
Maximilian;74;m
Sophia;65;w
Paul;59;m
Jakob;58;m
Anna;58;w
Johanna;54;w
Felix;53;m
Charlotte;52;w
David;51;m
Lina;51;w
Jonathan;50;m
Emma;48;w
Ben;47;m
Julian;45;m
Emilia;45;w
Katharina;43;w
Leon;42;m
Mia;42;w
Elias;40;m
Luise;40;w
Jan;39;m
Noah;39;m
Philipp;38;m
Hannah;37;w
Daniel;34;m
Julia;33;w
Jonas;33;m
Lara;32;w
Benjamin;32;m
Moritz;32;m
Laura;31;w
Luisa;31;w
Simon;31;m
Tim;30;m
Clara;29;w
Lea;29;w
Christian;28;m
Julius;27;m
Karl;27;m
Elisabeth;26;w
Sarah;26;w
Anton;26;m
Luca;26;m
Lena;25;w
Leonie;25;w
Peter;25;m
Emil;24;m
Florian;24;m
Lukas;24;m
Paula;23;w
Gabriel;23;m
Justus;23;m
Michael;23;m
Tom;23;m
Helena;22;w
Leonard;22;m
Louis;22;m
Antonia;21;w
Greta;21;w
Johannes;21;m
Nils;21;m
Vincent;21;m
Emily;20;w
Henry;20;m
Max;20;m
Helene;19;w
Lotta;19;w
Marlene;19;w
Amelie;18;w
Victoria;18;w
Joel;18;m
Leo;18;m
Luis;18;m
Martin;18;m
Oskar;18;m
Elisa;17;w
Ida;17;w
Jana;17;w
Lisa;17;w
Maya;17;w
Nele;17;w
Benedikt;17;m
Konstantin;17;m
Linus;17;m
Matthias;17;m
Alexandra;16;w
Carlotta;16;w
Franziska;16;w
Melina;16;w
Adrian;16;m
Finn;16;m
Friedrich;16;m
Jasper;16;m
Johann;16;m
Mohamed;16;m
Samuel;16;m
Sebastian;16;m
Alina;15;w
Carla;15;w
Louisa;15;w
Sofie;15;w
Fabian;15;m
Georg;15;m
Tobias;15;m
Ella;14;w
Eva;14;w
Frieda;14;w
Josephine;14;w
Matilda;14;w
Pauline;14;w
Erik;14;m
Henri;14;m
Josef;14;m
Joshua;14;m
Mika;14;m
Niklas;14;m
Raphael;14;m
Valentin;14;m
Anastasia;13;w
Hanna;13;w
Sofia;13;w
Eric;13;m
Jona;13;m
Lucas;13;m
Marlon;13;m
Oliver;13;m
Theodor;13;m
Amira;12;w
Leni;12;w
Nina;12;w
Viktoria;12;w
Zoe;12;w
Constantin;12;m
Lars;12;m
Liam;12;m
Maxim;12;m
Nicolas;12;m
Theo;12;m
Frida;11;w
Klara;11;w
Maja;11;w
Merle;11;w
Mila;11;w
Mina;11;w
Aaron;11;m
Andreas;11;m
Can;11;m
Lasse;11;m
Philip;11;m
Thomas;11;m
Annika;10;w
Caroline;10;w
Elena;10;w
Isabella;10;w
Josefine;10;w
Louise;10;w
Mathilda;10;w
Stella;10;w
Theresa;10;w
Valentina;10;w
Ali;10;m
Clemens;10;m
Dominik;10;m
Frederik;10;m
Heinrich;10;m
Henrik;10;m
Ole;10;m
Timo;10;m
Elif;9;w
Fiona;9;w
Lotte;9;w
Mara;9;w
Nora;9;w
Sara;9;w
Amin;9;m
Arthur;9;m
Dennis;9;m
Ibrahim;9;m
Leander;9;m
Leonardo;9;m
Levi;9;m
Manuel;9;m
Marc;9;m
Mats;9;m
Mattis;9;m
Mustafa;9;m
Nick;9;m
Noel;9;m
Robert;9;m
Till;9;m
Younes;9;m
Jasmin;8;w
Lana;8;w
Lia;8;w
Lucia;8;w
Martha;8;w
Maryam;8;w
Miriam;8;w
Nicole;8;w
Pia;8;w
Rebecca;8;w
Su;8;w
Albert;8;m
Carl;8;m
Damian;8;m
James;8;m
Lennard;8;m
Lennart;8;m
Malte;8;m
Milan;8;m
Phil;8;m
Phillip;8;m
Aurelia;7;w
Carolina;7;w
Celine;7;w
Elise;7;w
Felicitas;7;w
Isabel;7;w
Jule;7;w
Leyla;7;w
Luna;7;w
Magdalena;7;w
Malin;7;w
Mira;7;w
Sina;7;w
Adam;7;m
Bilal;7;m
John;7;m
Karim;7;m
Konrad;7;m
Laurin;7;m
Marcel;7;m
Marvin;7;m
Mert;7;m
Miguel;7;m
Richard;7;m
Yassin;7;m
Yunus;7;m
Barbara;6;w
Celina;6;w
Christin;6;w
Diana;6;w
Friederike;6;w
Jolie;6;w
Julie;6;w
Lilly;6;w
Lynn;6;w
Marla;6;w
Michelle;6;w
Rania;6;w
Romy;6;w
Tuana;6;w
Zoey;6;w
Amir;6;m
Antonio;6;m
Arne;6;m
Berat;6;m
Christoph;6;m
Ferdinand;6;m
Franz;6;m
Hamza;6;m
Jannik;6;m
Jonte;6;m
Joseph;6;m
kein;6;m
Leopold;6;m
Mateo;6;m
Mohammed;6;m
Rafael;6;m
Rayan;6;m
Robin;6;m
Titus;6;m
Vorname;6;m
Wilhelm;6;m
Yusuf;6;m
Angelina;5;w
Carolin;5;w
Dilara;5;w
Ecrin;5;w
Ellen;5;w
Emelie;5;w
Fatima;5;w
Frederike;5;w
Henriette;5;w
Joana;5;w
kein;5;w
Lilli;5;w
Linda;5;w
Lucy;5;w
Mona;5;w
noch;5;w
Olivia;5;w
Philippa;5;w
Sahra;5;w
Selina;5;w
Vorname;5;w
Xenia;5;w
Bennet;5;m
Benno;5;m
Denis;5;m
Efe;5;m
Emilian;5;m
Emilio;5;m
Emre;5;m
Hannes;5;m
Hans;5;m
Hendrik;5;m
Jacob;5;m
Julien;5;m
Khalil;5;m
Magnus;5;m
Markus;5;m
Matti;5;m
Mohamad;5;m
Niclas;5;m
Nico;5;m
Nikolas;5;m
Patrick;5;m
Salah;5;m
Sami;5;m
Severin;5;m
Stefan;5;m
Stephan;5;m
Sven;5;m
Victor;5;m
Walter;5;m
Adele;4;w
Alia;4;w
Alicia;4;w
Amina;4;w
Anika;4;w
Annabell;4;w
Anouk;4;w
Ava;4;w
Aylin;4;w
Catharina;4;w
Chiara;4;w
Daria;4;w
Eda;4;w
Ela;4;w
Fatma;4;w
Florentine;4;w
Ilayda;4;w
Janina;4;w
Jolina;4;w
Karoline;4;w
Kim;4;w
Larissa;4;w
Leona;4;w
Livia;4;w
Lorena;4;w
Lucie;4;w
Lydia;4;w
Malak;4;w
Mariam;4;w
Marta;4;w
Melek;4;w
Meryem;4;w
Milla;4;w
Mohamed;4;w
Nour;4;w
Nur;4;w
Patricia;4;w
Paulina;4;w
Regina;4;w
Renate;4;w
Abdullah;4;m
Ronja;4;w
Alessandro;4;m
Ruth;4;w
André;4;m
Salma;4;w
Angelo;4;m
Selma;4;w
Ayoub;4;m
Stephanie;4;w
Berkay;4;m
Svea;4;w
Bjarne;4;m
Valeria;4;w
Bruno;4;m
Vanessa;4;w
Collin;4;m
Vera;4;w
Dean;4;m
Zoé;4;w
Dion;4;m
Eduard;4;m
Emanuel;4;m
Enes;4;m
Eren;4;m
Etienne;4;m
Frank;4;m
Fynn;4;m
Ilias;4;m
Ismail;4;m
Jamal;4;m
Jamie;4;m
Janis;4;m
Janosch;4;m
Jaron;4;m
Jason;4;m
Jean;4;m
Jerome;4;m
Joachim;4;m
Johan;4;m
Joris;4;m
Justin;4;m
Kasimir;4;m
Kian;4;m
Leandro;4;m
Levin;4;m
Ludwig;4;m
Luka;4;m
Luke;4;m
Marius;4;m
Mark;4;m
Maurice;4;m
Mehmet;4;m
Muhammed;4;m
Nathan;4;m
Nikita;4;m
noch;4;m
René;4;m
Roman;4;m
Ruben;4;m
Rufus;4;m
Ryan;4;m
Samir;4;m
Selim;4;m
Steven;4;m
Thore;4;m
Umut;4;m
Zakaria;4;m
Aaliyah;3;w
Alessia;3;w
Alma;3;w
Amani;3;w
Anastassia;3;w
Andrea;3;w
Angelika;3;w
Anita;3;w
Anja;3;w
Anna-Lena;3;w
Annalena;3;w
Anne;3;w
Ariana;3;w
Auguste;3;w
Aya;3;w
Carina;3;w
Ceylin;3;w
Christina;3;w
Christine;3;w
Daniela;3;w
Dina;3;w
Dorothea;3;w
Edda;3;w
Eileen;3;w
Elina;3;w
Elsa;3;w
Emely;3;w
Emilie;3;w
Esther;3;w
Felicia;3;w
Fenja;3;w
Flora;3;w
Freya;3;w
Gabriela;3;w
Gabriele;3;w
Grace;3;w
Helen;3;w
Hermine;3;w
Ina;3;w
Ingrid;3;w
Jamila;3;w
Janine;3;w
Jennifer;3;w
Juliana;3;w
Karlotta;3;w
Karolina;3;w
Katarina;3;w
Kayra;3;w
Aeneas;3;m
Laila;3;w
Ahmed;3;m
Layla;3;w
Alex;3;m
Leah;3;w
Anas;3;m
Leandra;3;w
Angel;3;m
Lene;3;w
Anthony;3;m
Lenya;3;w
Aras;3;m
Liv;3;w
Artur;3;m
Madita;3;w
Arvid;3;m
Maike;3;w
Aurel;3;m
Malia;3;w
Batuhan;3;m
Marianne;3;w
Bela;3;m
Marit;3;w
Bernhard;3;m
Marleen;3;w
Bert;3;m
Mary;3;w
Björn;3;m
Medina;3;w
Colin;3;m
Melissa;3;w
Dieter;3;m
Meriam;3;w
Dominic;3;m
Meyra;3;w
Dustin;3;m
Mia-Sophie;3;w
Edgar;3;m
Milena;3;w
Edin;3;m
Minou;3;w
Elijah;3;m
Narin;3;w
Emir;3;m
Natalie;3;w
Emmanuel;3;m
Nathalie;3;w
Fabio;3;m
Noelia;3;w
Francis;3;m
Noemi;3;w
Frederic;3;m
Noor;3;w
Fritz;3;m
Petra;3;w
Gerd;3;m
Rahel;3;w
Gustav;3;m
Rieke;3;w
Hadi;3;m
Rose;3;w
Hanno;3;m
Ruby;3;w
Hasan;3;m
Sabine;3;w
Hugo;3;m
Sandra;3;w
Hussein;3;m
Sienna;3;w
Ilyas;3;m
Silvia;3;w
Jack;3;m
Soraya;3;w
Janne;3;m
Susanne;3;w
Jannick;3;m
Tabea;3;w
Jannis;3;m
Tara;3;w
Jeremy;3;m
Thea;3;w
Jonah;3;m
Therese;3;w
Kaan;3;m
Tilda;3;w
Kevin;3;m
Valerie;3;w
Kilian;3;m
Yasmin;3;w
Kim;3;m
Yağmur;3;w
Kirill;3;m
Zahra;3;w
Laurenz;3;m
Zainab;3;w
Lennox;3;m
Zeynep;3;w
Lenny;3;m
Leonidas;3;m
Lian;3;m
Marco;3;m
Marcus;3;m
Mathis;3;m
Matteo;3;m
Maxime;3;m
Mike;3;m
Milano;3;m
Milot;3;m
Musa;3;m
Norbert;3;m
Oscar;3;m
Rolf;3;m
Rudolf;3;m
Sam;3;m
Sergej;3;m
Silas;3;m
Tristan;3;m
Viktor;3;m
William;3;m
Yasin;3;m
Ömer;3;m
Abdulla;2;w
Ada;2;w
Aicha;2;w
Aleyna;2;w
Ali;2;w
Alisa;2;w
Alisha;2;w
Alva;2;w
Amalia;2;w
Amber;2;w
Amelia;2;w
Amy;2;w
Amélie;2;w
Anette;2;w
Ann;2;w
Annemarie;2;w
Anni;2;w
Antonie;2;w
Arina;2;w
Asmin;2;w
Asya;2;w
Aurora;2;w
Azra;2;w
Beyza;2;w
Abdurrahman;2;m
Bouchra;2;w
Abdusalam;2;m
Camille;2;w
Adriano;2;m
Catalina;2;w
Ahmad;2;m
Cecilia;2;w
Ahmet;2;m
Chayenne;2;w
