vorname;anzahl;geschlecht
Marie;155;w
Sophie;115;w
Maximilian;82;m
Alexander;76;m
Maria;72;w
David;69;m
Paul;69;m
Anna;55;w
Emma;53;w
Jonas;51;m
Charlotte;50;w
Johanna;50;w
Felix;49;m
Ben;48;m
Leon;47;m
Julian;46;m
Mia;45;w
Luca;44;m
Elias;42;m
Lena;41;w
Emilia;40;w
Sophia;40;w
Noah;39;m
Katharina;37;w
Jakob;37;m
Luisa;35;w
Jan;34;m
Elisabeth;34;w
Tim;33;m
Clara;33;w
Anton;31;m
Leonard;31;m
Lukas;31;m
Moritz;31;m
Benjamin;30;m
Christian;30;m
Lina;29;w
Johannes;28;m
Jonathan;28;m
Tom;28;m
Hanna;27;w
Lea;27;w
Leonie;27;w
Gabriel;27;m
Simon;27;m
Hannah;26;w
Lara;26;w
Julia;25;w
Laura;25;w
Daniel;25;m
Max;25;m
Julius;24;m
Antonia;23;w
Greta;23;w
Luise;23;w
Marlene;23;w
Florian;23;m
Philipp;23;m
Paula;22;w
Emil;22;m
Johann;22;m
Leo;22;m
Louis;22;m
Niklas;22;m
Franziska;21;w
Linus;21;m
Samuel;21;m
Amelie;20;w
Constantin;20;m
Emily;19;w
Sara;19;w
Sarah;19;w
Andreas;19;m
Finn;19;m
Martin;19;m
Peter;19;m
Vincent;19;m
Lilly;18;w
Sofia;18;w
Fabian;18;m
Frederik;18;m
Konstantin;18;m
Valentin;18;m
Ida;17;w
Josefine;17;w
Magdalena;17;w
Maja;17;w
Nele;17;w
Erik;17;m
Sebastian;17;m
Alexandra;16;w
Alina;16;w
Elisa;16;w
Eva;16;w
Isabella;16;w
Lotta;16;w
Victoria;16;w
Justus;16;m
Lennard;16;m
Mika;16;m
Carlotta;15;w
Elena;15;w
Helena;15;w
Lisa;15;w
Pia;15;w
Karl;15;m
Mats;15;m
Christine;14;w
Maya;14;w
Aaron;14;m
Ali;14;m
Carl;14;m
Liam;14;m
Ole;14;m
Annika;13;w
Caroline;13;w
Jasmin;13;w
Leni;13;w
Luna;13;w
Adrian;13;m
Joel;13;m
Josef;13;m
Leander;13;m
Luis;13;m
Michael;13;m
Mohamed;13;m
Oskar;13;m
Raphael;13;m
Fiona;12;w
Frida;12;w
Helene;12;w
Isabel;12;w
Jana;12;w
Josephine;12;w
Sofie;12;w
Viktoria;12;w
Zoe;12;w
Adam;12;m
Amin;12;m
Friedrich;12;m
Henri;12;m
Marlon;12;m
Philip;12;m
Theo;12;m
Wilhelm;12;m
Klara;11;w
Martha;11;w
Matilda;11;w
Melina;11;w
Mila;11;w
Olivia;11;w
Fynn;11;m
Henry;11;m
Jonah;11;m
Manuel;11;m
Muhammed;11;m
Nico;11;m
Theodor;11;m
Tobias;11;m
Ella;10;w
Frieda;10;w
Friederike;10;w
Jule;10;w
Mathilda;10;w
Nur;10;w
Stella;10;w
Valentina;10;w
Clemens;10;m
Elia;10;m
Eric;10;m
Georg;10;m
Jasper;10;m
Oliver;10;m
Richard;10;m
Ava;9;w
Julie;9;w
kein;9;w
Mina;9;w
Pauline;9;w
Theresa;9;w
Vorname;9;w
Franz;9;m
Hannes;9;m
Ibrahim;9;m
Joshua;9;m
Kian;9;m
Lars;9;m
Levi;9;m
Lucas;9;m
Maria;9;m
Mustafa;9;m
Nick;9;m
Thomas;9;m
Aylin;8;w
Diana;8;w
Elif;8;w
Emilie;8;w
Isabelle;8;w
Lia;8;w
Louisa;8;w
Louise;8;w
Lucia;8;w
Mara;8;w
Nina;8;w
noch;8;w
Nora;8;w
Paulina;8;w
Rosa;8;w
Benedikt;8;m
Hendrik;8;m
Hugo;8;m
Lasse;8;m
Leandro;8;m
Lennart;8;m
Leopold;8;m
Malte;8;m
Matteo;8;m
Mattis;8;m
Noel;8;m
Robert;8;m
Robin;8;m
Sven;8;m
Timo;8;m
Amira;7;w
Barbara;7;w
Christina;7;w
Elise;7;w
Ellen;7;w
Finja;7;w
Grace;7;w
Lana;7;w
Melissa;7;w
Rebecca;7;w
Yasmin;7;w
Can;7;m
Ferdinand;7;m
Gustav;7;m
Hamza;7;m
Heinrich;7;m
Jacob;7;m
Jannis;7;m
Jason;7;m
Joseph;7;m
kein;7;m
Levin;7;m
Luke;7;m
Markus;7;m
Matthias;7;m
Matti;7;m
Mohammed;7;m
Patrick;7;m
Roman;7;m
Vorname;7;m
Alma;6;w
Amalia;6;w
Carla;6;w
