anzahl;vorname;geschlecht;position
92;Marie;w;2
78;Sophie;w;2
61;Maria;w;2
59;Emilia;w;1
50;Alexander;m;2
45;Noah;m;1
43;Felix;m;1
43;Charlotte;w;1
43;Jonas;m;1
42;Ben;m;1
42;Paul;m;1
40;Emma;w;1
40;Lina;w;1
38;Lukas;m;1
37;Anna;w;1
35;Johanna;w;1
35;Jonathan;m;1
34;Marie;w;1
34;Jakob;m;1
34;Mia;w;1
33;Anton;m;1
33;Maximilian;m;1
32;Mila;w;1
31;Leon;m;1
30;Milan;m;1
28;Alexander;m;1
28;David;m;1
28;Emil;m;1
27;Ella;w;1
27;Lea;w;1
27;Leni;w;1
27;Finn;m;1
27;Leo;m;1
27;Theo;m;1
26;Luisa;w;1
26;Elias;m;1
25;Elias;m;2
25;Lena;w;1
25;Benjamin;m;1
24;Maximilian;m;2
24;Clara;w;1
24;Nora;w;1
24;Liam;m;1
23;Paul;m;2
23;Greta;w;1
23;Max;m;1
22;Luise;w;2
22;Amelie;w;1
22;Antonia;w;1
22;Ida;w;1
22;Daniel;m;1
22;Leonard;m;1
21;Isabella;w;1
21;Paula;w;1
21;Sophia;w;1
21;Sophie;w;1
20;Johanna;w;2
20;Adam;m;1
20;Lia;w;1
20;Henry;m;1
20;Jan;m;1
19;Mira;w;1
19;Julian;m;1
18;Felix;m;2
18;Charlotte;w;2
18;Katharina;w;2
18;Frieda;w;1
18;Hannah;w;1
18;Luis;m;1
18;Marlene;w;1
18;Mathilda;w;1
18;Sofia;w;1
17;Karl;m;1
17;Moritz;m;1
17;Niklas;m;1
17;Lara;w;1
17;Philipp;m;1
17;Nele;w;1
17;Theodor;m;1
16;Anton;m;2
16;Elisa;w;1
16;Levi;m;1
16;Emily;w;1
16;Linus;m;1
16;Mats;m;1
16;Matteo;m;1
16;Samuel;m;1
16;Valentin;m;1
15;Hanna;w;1
15;Fabian;m;1
15;Henri;m;1
15;Tim;m;1
15;Tom;m;1
14;Laura;w;1
14;Mara;w;1
14;Oskar;m;1
14;Simon;m;1
14;Vincent;m;1
13;Friedrich;m;2
13;Gabriel;m;2
13;Anna;w;2
13;Johann;m;2
13;Emilia;w;2
13;Johannes;m;2
13;Maria;w;1
13;Olivia;w;1
13;Pauline;w;1
13;Johannes;m;1
13;Luca;m;1
12;Elisabeth;w;2
12;Marlene;w;2
12;Helena;w;1
12;Jana;w;1
12;Juna;w;1
12;Leonie;w;1
12;Lisa;w;1
12;Maya;w;1
12;Sara;w;1
12;Thea;w;1
12;Johann;m;1
12;Louis;m;1
11;David;m;2
11;Emil;m;2
11;Leonard;m;2
11;Michael;m;2
11;Alina;w;1
11;Josephine;w;1
11;Amir;m;1
11;Julia;w;1
11;Gabriel;m;1
11;Klara;w;1
11;Julius;m;1
11;Louisa;w;1
11;Maja;w;1
11;Matilda;w;1
11;Sarah;w;1
11;Stella;w;1
10;Mathilda;w;2
10;Sophia;w;2
10;Christian;m;2
10;Aaron;m;1
10;Adrian;m;1
10;Carl;m;1
10;Fynn;m;1
10;Kian;m;1
10;Alma;w;1
10;Konstantin;m;1
10;Amira;w;1
10;Milo;m;1
10;Ava;w;1
10;Raphael;m;1
10;Elena;w;1
10;Robin;m;1
10;Elisabeth;w;1
10;Lotta;w;1
10;Melina;w;1
10;Pia;w;1
10;Romy;w;1
10;Ronja;w;1
9;Ida;w;2
9;Lina;w;2
9;Henry;m;2
9;Jan;m;2
9;Matteo;m;2
9;Matthias;m;2
9;Bruno;m;1
9;Emilio;m;1
9;Florian;m;1
9;Hannes;m;1
9;Justus;m;1
9;Lasse;m;1
9;Carla;w;1
9;Levin;m;1
9;Frida;w;1
9;Marlon;m;1
9;Katharina;w;1
9;Maxim;m;1
9;Liana;w;1
