anzahl;vorname;geschlecht;position
86;Marie;w;2
75;Sophie;w;2
50;Noah;m;1
46;Emilia;w;1
45;Maria;w;2
43;Jonas;m;1
42;Felix;m;1
41;Anna;w;1
40;Alexander;m;2
39;Emma;w;1
39;Leon;m;1
39;Mia;w;1
37;Emil;m;1
37;Paul;m;1
36;Mila;w;1
36;Jakob;m;1
35;Lea;w;1
34;Marie;w;1
34;Ben;m;1
33;Maximilian;m;2
33;Sophia;w;1
33;Maximilian;m;1
32;Charlotte;w;1
32;Sophie;w;1
30;Clara;w;1
30;Lina;w;1
29;Elias;m;1
29;Julian;m;1
28;Jonathan;m;1
28;Lukas;m;1
27;Lena;w;1
27;Finn;m;1
27;Henry;m;1
27;Theo;m;1
26;Leni;w;1
26;David;m;1
26;Luca;m;1
26;Luis;m;1
26;Oskar;m;1
25;Mats;m;1
24;Elisabeth;w;2
24;Paula;w;1
23;Leonie;w;1
23;Alexander;m;1
23;Leo;m;1
23;Liam;m;1
22;Luisa;w;1
22;Nele;w;1
22;Adam;m;1
21;Paul;m;2
21;Marlene;w;1
21;Mira;w;1
21;Anton;m;1
21;Karl;m;1
21;Leonard;m;1
21;Niklas;m;1
21;Tom;m;1
20;Charlotte;w;2
20;Ida;w;1
20;Laura;w;1
20;Lia;w;1
20;Johann;m;1
20;Louis;m;1
20;Milan;m;1
20;Moritz;m;1
20;Theodor;m;1
19;Johanna;w;1
19;Maria;w;1
18;Emilia;w;2
18;Katharina;w;2
18;Amelie;w;1
18;Hannah;w;1
18;Max;m;1
17;Anton;m;2
17;Maja;w;1
17;Miran;m;1
16;Hanna;w;1
16;Sofia;w;1
16;Benjamin;m;1
16;Jan;m;1
16;Samuel;m;1
15;Lotta;w;1
15;Nora;w;1
15;Daniel;m;1
15;Levi;m;1
15;Matteo;m;1
15;Maxim;m;1
15;Mika;m;1
15;Mohamed;m;1
14;David;m;2
14;Elisa;w;1
14;Ella;w;1
14;Emily;w;1
14;Frida;w;1
14;Julia;w;1
14;Lara;w;1
14;Mina;w;1
14;Sara;w;1
14;Julius;m;1
14;Konstantin;m;1
13;Benjamin;m;2
13;Luise;w;2
13;Ava;w;1
13;Helena;w;1
13;Jana;w;1
13;Klara;w;1
13;Adrian;m;1
13;Fabian;m;1
13;Malik;m;1
12;Leonard;m;2
12;Anna;w;2
12;Johanna;w;2
12;Sofia;w;2
12;Alina;w;1
12;Amalia;w;1
12;Antonia;w;1
12;Isabella;w;1
12;Lilly;w;1
12;Aaron;m;1
12;Erik;m;1
12;Gabriel;m;1
12;Jonah;m;1
12;Linus;m;1
12;Malte;m;1
12;Tim;m;1
11;Emil;m;2
11;Karl;m;2
11;Michael;m;2
11;Carla;w;1
11;Elena;w;1
11;Frieda;w;1
11;Louisa;w;1
11;Merle;w;1
11;Olivia;w;1
11;Thea;w;1
11;Emilio;m;1
11;Ibrahim;m;1
11;Philipp;m;1
11;Valentin;m;1
10;Elias;m;2
10;Victoria;w;2
10;Amira;w;1
10;Carlotta;w;1
10;Elina;w;1
10;Lisa;w;1
10;Mathilda;w;1
10;Maya;w;1
10;Arthur;m;1
10;Sarah;w;1
10;Carl;m;1
10;Carlo;m;1
10;Hamza;m;1
10;Henri;m;1
10;Joshua;m;1
10;Lennard;m;1
10;Lian;m;1
9;Friedrich;m;2
9;Johann;m;2
9;Sophia;w;2
9;Johannes;m;2
9;Liam;m;2
9;Noel;m;2
9;Linda;w;1
9;Liya;w;1
9;Luise;w;1
9;Paulina;w;1
9;Pauline;w;1
9;Constantin;m;1
9;Frederik;m;1
9;Jona;m;1
9;Lasse;m;1
9;Ludwig;m;1
9;Michael;m;1
9;Nils;m;1
9;Ole;m;1
9;Sam;m;1
9;Simon;m;1
9;Till;m;1
9;Toni;m;1
9;Yusuf;m;1
8;Josephine;w;2
8;Lea;w;2
8;Mathilda;w;2
8;Albert;m;2
8;Valentina;w;2
8;Henri;m;2
8;Leon;m;2
8;Matthias;m;2
8;Philipp;m;2
8;Valentin;m;2
8;Aurelia;w;1
8;Ayla;w;1
8;Cleo;w;1
8;Franziska;w;1
8;Jasmin;w;1
8;Lilli;w;1
8;Matilda;w;1
8;Romy;w;1
8;Victoria;w;1
8;Benno;m;1
8;Christian;m;1
8;Enno;m;1
8;Ilyas;m;1
8;Kilian;m;1
8;Mateo;m;1
8;Mattis;m;1
8;Musa;m;1
8;Nicolas;m;1
8;Omar;m;1
7;Elisabeth;w;3
7;Sophie;w;3
7;Antonia;w;2
7;Christin;w;2
7;Elisa;w;2
7;Nur;w;2
7;Sofie;w;2
7;Ferdinand;m;2
7;Theresa;w;2
7;Franz;m;2
7;Gabriel;m;2
7;Georg;m;2
7;Heinrich;m;2
7;Henry;m;2
7;Jan;m;2
7;Jonas;m;2
7;Jonathan;m;2
7;Leo;m;2
7;Ludwig;m;2
7;Matteo;m;2
7;Samuel;m;2
7;Amina;w;1
7;Flora;w;1
7;Josefine;w;1
7;Josephine;w;1
7;Juna;w;1
7;Karla;w;1
7;Layan;w;1
7;Liana;w;1
7;Lotte;w;1
7;Maila;w;1
7;Mara;w;1
7;Medina;w;1
7;Melina;w;1
7;Rosa;w;1
7;Theresa;w;1
7;Tilda;w;1
7;Benedikt;m;1
7;Yuna;w;1
7;Bruno;m;1
7;Zoe;w;1
7;Fiete;m;1
7;Friedrich;m;1
7;Hannes;m;1
7;Jannik;m;1
7;Jannis;m;1
7;Rayan;m;1
7;Richard;m;1
7;Vincent;m;1
6;Christine;w;2
6;Clara;w;2
6;Dorothea;w;2
6;Elise;w;2
6;Helene;w;2
6;Josefine;w;2
6;Lina;w;2
6;Louise;w;2
6;Luisa;w;2
6;Viktoria;w;2
6;Ali;m;2
6;Andreas;m;2
6;Benedikt;m;2
6;Felix;m;2
6;Frederik;m;2
6;Jakob;m;2
6;Levi;m;2
6;Peter;m;2
6;Sebastian;m;2
6;Theo;m;2
6;Theodor;m;2
6;Wilhelm;m;2
6;Anastasia;w;1
6;Anni;w;1
6;Ariana;w;1
6;Ela;w;1
6;Elea;w;1
6;Elin;w;1
6;Elisabeth;w;1
6;Fiona;w;1
6;Ali;m;1
6;Katharina;w;1
6;Amin;m;1
6;Lana;w;1
6;Bilal;m;1
6;Malia;w;1
6;Elia;m;1
6;Malou;w;1
6;Elian;m;1
6;Maryam;w;1
6;Franz;m;1
6;Melek;w;1
6;Fritz;m;1
6;Melissa;w;1
6;Hugo;m;1
6;Nala;w;1
6;Jasper;m;1
6;Nina;w;1
6;Lars;m;1
6;Rosalie;w;1
6;Leonardo;m;1
6;Valerie;w;1
6;Lio;m;1
6;Viktoria;w;1
6;Luan;m;1
6;Zeynep;w;1
6;Luke;m;1
6;Marlon;m;1
6;Matheo;m;1
6;Milo;m;1
6;Mohammad;m;1
6;Nico;m;1
6;Oliver;m;1
6;Oscar;m;1
6;Youssef;m;1
5;Wilhelm;m;3
5;Marie;w;3
5;Alexandra;w;2
5;Emma;w;2
5;Isabella;w;2
5;Lou;w;2
5;Lucia;w;2
5;Matilda;w;2
5;Pauline;w;2
5;Ben;m;2
5;Carl;m;2
5;Caspar;m;2
5;Joel;m;2
5;Jona;m;2
5;Josef;m;2
5;Julius;m;2
5;Linus;m;2
5;Luca;m;2
5;Mateo;m;2
5;Noah;m;2
5;Ole;m;2
5;Alessia;w;1
5;Alexandra;w;1
5;Alma;w;1
5;Eliana;w;1
5;Elise;w;1
5;Fatima;w;1
5;Freya;w;1
5;Greta;w;1
5;Hailey;w;1
5;Ahmad;m;1
5;Jule;w;1
5;Ahmed;m;1
5;Lily;w;1
5;Arian;m;1
5;Liyana;w;1
