anzahl;vorname;geschlecht;position
99;Marie;w;2
98;Sophie;w;2
63;Maria;w;2
52;Felix;m;1
51;Jonas;m;1
49;Emilia;w;1
49;Emma;w;1
48;Lina;w;1
48;Mia;w;1
47;Alexander;m;2
47;Leon;m;1
45;Noah;m;1
45;Anna;w;1
44;Paul;m;1
43;Mila;w;1
37;Anton;m;1
37;Ben;m;1
37;Maximilian;m;1
36;Johanna;w;1
36;Elias;m;1
35;Leonie;w;1
35;Julian;m;1
34;Clara;w;1
34;Luisa;w;1
34;David;m;1
34;Marie;w;1
32;Elisabeth;w;2
32;Lena;w;1
31;Alexander;m;1
30;Maximilian;m;2
30;Jonathan;m;1
30;Lea;w;1
29;Luis;m;1
28;Greta;w;1
28;Jan;m;1
28;Leo;m;1
27;Johanna;w;2
27;Emily;w;1
27;Ida;w;1
27;Jakob;m;1
27;Laura;w;1
27;Theo;m;1
26;Hannah;w;1
26;Luca;m;1
25;Henry;m;1
24;Charlotte;w;2
24;Emil;m;1
24;Finn;m;1
24;Julius;m;1
24;Lukas;m;1
23;Katharina;w;2
23;Sophie;w;1
23;Adam;m;1
23;Samuel;m;1
23;Tim;m;1
22;Leni;w;1
22;Maria;w;1
22;Paula;w;1
22;Leonard;m;1
22;Liam;m;1
21;Elias;m;2
21;Paul;m;2
21;Charlotte;w;1
21;Sarah;w;1
21;Aaron;m;1
21;Benjamin;m;1
21;Mats;m;1
21;Moritz;m;1
20;Ella;w;1
20;Hanna;w;1
20;Lotta;w;1
20;Sophia;w;1
20;Matteo;m;1
19;Luisa;w;2
19;Julia;w;1
19;Louis;m;1
19;Milan;m;1
19;Oskar;m;1
19;Tom;m;1
18;Anton;m;2
18;Luise;w;2
18;Sophia;w;2
18;Jana;w;1
18;Lia;w;1
18;Mira;w;1
18;Max;m;1
18;Niklas;m;1
17;Emil;m;2
17;Josef;m;2
17;Carla;w;1
17;Sara;w;1
17;Sofia;w;1
17;Karl;m;1
17;Linus;m;1
17;Theodor;m;1
16;Elisa;w;1
16;Frida;w;1
16;Isabella;w;1
16;Lisa;w;1
16;Marlene;w;1
16;Levi;m;1
16;Vincent;m;1
15;Felix;m;2
15;Friedrich;m;2
15;Amelie;w;1
15;Antonia;w;1
15;Mara;w;1
15;Daniel;m;1
15;Erik;m;1
15;Ole;m;1
15;Simon;m;1
14;Jonathan;m;2
14;Anna;w;2
14;Lara;w;1
14;Matilda;w;1
14;Nele;w;1
14;Nora;w;1
14;Henri;m;1
14;Timo;m;1
13;Jakob;m;2
13;Amelia;w;1
13;Diana;w;1
13;Frieda;w;1
13;Lasse;m;1
13;Mateo;m;1
13;Philipp;m;1
12;Johann;m;2
12;Carlotta;w;1
12;Elena;w;1
12;Lilly;w;1
12;Louisa;w;1
12;Benedikt;m;1
12;Maya;w;1
12;Fabian;m;1
12;Mina;w;1
12;Maxim;m;1
12;Paulina;w;1
12;Till;m;1
12;Pauline;w;1
12;Tobias;m;1
11;Emilia;w;2
11;David;m;2
11;Viktoria;w;2
11;Johannes;m;2
11;Luca;m;2
11;Matthias;m;2
11;Michael;m;2
11;Philipp;m;2
11;Valentin;m;2
11;Eva;w;1
11;Damian;m;1
11;Katharina;w;1
11;Johann;m;1
11;Klara;w;1
11;Valentin;m;1
11;Liana;w;1
11;Yusuf;m;1
11;Maja;w;1
11;Melina;w;1
10;Ali;m;2
10;Christian;m;2
10;Gabriel;m;2
10;Peter;m;2
10;Adrian;m;1
10;Amir;m;1
10;Amira;w;1
10;Gabriel;m;1
10;Juna;w;1
10;Johannes;m;1
10;Jonah;m;1
10;Mohamed;m;1
10;Oliver;m;1
10;Raphael;m;1
9;Maria;w;3
9;Benjamin;m;2
9;Leonard;m;2
9;Louis;m;2
9;Noah;m;2
9;Elina;w;1
9;Elisabeth;w;1
9;Fiona;w;1
9;Jule;w;1
9;Martha;w;1
9;Florian;m;1
9;Mathilda;w;1
9;Hamza;m;1
9;Romy;w;1
9;Joshua;m;1
9;Viktoria;w;1
9;Justus;m;1
9;Mika;m;1
9;Miran;m;1
9;Nick;m;1
9;Nico;m;1
9;Phil;m;1
8;Antonia;w;2
8;Barbara;w;2
8;Elisa;w;2
8;Marleen;w;2
8;Henri;m;2
8;Jonas;m;2
8;Robert;m;2
8;Sebastian;m;2
8;Wilhelm;m;2
8;Alicia;w;1
8;Annika;w;1
8;Elif;w;1
8;Elin;w;1
8;Luana;w;1
8;Luna;w;1
8;Frederik;m;1
8;Milana;w;1
8;Ilyas;m;1
8;Ronja;w;1
8;Ivan;m;1
8;Thea;w;1
8;Jannis;m;1
8;Tilda;w;1
8;Kilian;m;1
8;Konstantin;m;1
8;Lars;m;1
8;Luka;m;1
8;Malte;m;1
8;Mohammed;m;1
8;Muhammed;m;1
8;Robin;m;1
8;Yasin;m;1
7;Clara;w;2
7;Felicitas;w;2
7;Franziska;w;2
7;Josephine;w;2
7;Mia;w;2
7;Victoria;w;2
7;Antonio;m;2
7;Can;m;2
7;Frederik;m;2
7;Jan;m;2
7;Leon;m;2
7;Alina;w;1
7;Alma;w;1
7;Alva;w;1
7;Ava;w;1
7;Carolin;w;1
7;Elise;w;1
7;Elli;w;1
7;Finja;w;1
7;Helena;w;1
7;Constantin;m;1
7;Jasmin;w;1
7;Hugo;m;1
7;Julie;w;1
7;Janosch;m;1
7;Karla;w;1
7;Jona;m;1
7;Liv;w;1
7;Lias;m;1
7;Magdalena;w;1
7;Lucas;m;1
7;Marla;w;1
7;Marlon;m;1
7;Maryam;w;1
7;Matthias;m;1
7;Miriam;w;1
7;Mikail;m;1
7;Pia;w;1
