anzahl;vorname;geschlecht
144;Marie;w
140;Sophie;w
97;Maria;w
96;Alexander;m
72;Maximilian;m
61;Elias;m
59;Noah;m
59;Emilia;w
58;Charlotte;w
56;Anna;w
55;David;m
55;Jonas;m
55;Paul;m
54;Mia;w
52;Jan;m
51;Emma;w
51;Anton;m
50;Johanna;w
50;Jakob;m
46;Felix;m
45;Sophia;w
44;Katharina;w
42;Lina;w
38;Ben;m
38;Emil;m
38;Clara;w
37;Lukas;m
36;Lena;w
36;Jonathan;m
36;Leon;m
35;Philipp;m
34;Tim;m
33;Laura;w
33;Lea;w
33;Julian;m
32;Emily;w
31;Daniel;m
31;Julius;m
30;Ida;w
30;Julia;w
30;Mila;w
29;Elisabeth;w
29;Benjamin;m
29;Luise;w
29;Max;m
29;Niklas;m
28;Hanna;w
28;Luisa;w
28;Johannes;m
28;Leo;m
27;Fabian;m
27;Leonard;m
27;Vincent;m
26;Amelie;w
26;Hannah;w
26;Sofia;w
26;Finn;m
26;Johann;m
26;Moritz;m
25;Henri;m
25;Louis;m
24;Mathilda;w
24;Erik;m
23;Elisa;w
23;Marlene;w
23;Florian;m
23;Luca;m
23;Samuel;m
22;Greta;w
22;Leonie;w
22;Adam;m
22;Liam;m
21;Elif;w
21;Paula;w
21;Benedikt;m
21;Luis;m
21;Tom;m
20;Helena;w
20;Josephine;w
20;Victoria;w
20;Simon;m
20;Theo;m
19;Ella;w
19;Louisa;w
19;Mohamed;m
18;Sarah;w
18;Christian;m
18;Gabriel;m
18;Michael;m
18;Oskar;m
17;Lara;w
17;Nora;w
17;Constantin;m
17;Friedrich;m
17;Justus;m
17;Karl;m
17;Matthias;m
17;Milan;m
17;Theodor;m
16;Annika;w
16;Ferdinand;m
16;Henry;m
16;Mats;m
16;Maxim;m
16;Tobias;m
15;Elena;w
15;Eva;w
15;Isabella;w
15;Josefine;w
15;Leni;w
15;Joel;m
15;Konstantin;m
15;Levi;m
15;Valentin;m
14;Amira;w
14;Antonia;w
14;Frieda;w
14;Lotta;w
14;Nele;w
14;Pia;w
14;Ali;m
14;Carl;m
14;Frederik;m
14;Jonah;m
14;Joshua;m
14;Lennart;m
14;Linus;m
14;Ole;m
13;Elise;w
13;Franziska;w
13;Helene;w
