anzahl;vorname;geschlecht;position
90;Marie;w;2
84;Sophie;w;2
60;Alexander;m;2
59;Maximilian;m;1
58;Maria;w;2
51;Emilia;w;1
50;Paul;m;1
50;Emma;w;1
49;Noah;m;1
48;Jonas;m;1
47;Ben;m;1
46;Leon;m;1
45;Felix;m;1
43;Elias;m;1
42;Mia;w;1
40;Lena;w;1
40;Marie;w;1
39;Maximilian;m;2
37;Benjamin;m;1
36;David;m;1
35;Mila;w;1
35;Jonathan;m;1
35;Julian;m;1
34;Anna;w;1
34;Alexander;m;1
34;Jakob;m;1
33;Anton;m;1
32;Sophia;w;1
32;Leo;m;1
31;Jan;m;1
30;Emil;m;1
30;Lukas;m;1
29;Hannah;w;1
29;Laura;w;1
29;Leonie;w;1
28;Katharina;w;2
28;Finn;m;1
28;Liam;m;1
27;Sophie;w;1
27;Henry;m;1
26;Charlotte;w;1
25;Leonard;m;1
25;Moritz;m;1
24;Elias;m;2
24;Ella;w;1
24;Greta;w;1
24;Johanna;w;1
24;Paula;w;1
24;Henri;m;1
24;Milan;m;1
23;Charlotte;w;2
23;Emilia;w;2
23;Lea;w;1
23;Tim;m;1
22;Paul;m;2
22;Amelie;w;1
22;Emily;w;1
22;Luisa;w;1
22;Luca;m;1
21;Max;m;1
21;Tom;m;1
20;Clara;w;1
20;Sarah;w;1
20;Julius;m;1
19;Johanna;w;2
19;Ida;w;1
19;Adam;m;1
19;Linus;m;1
19;Louis;m;1
18;Lara;w;1
18;Lina;w;1
18;Louisa;w;1
18;Daniel;m;1
18;Johann;m;1
18;Matteo;m;1
18;Oskar;m;1
18;Philipp;m;1
17;Julia;w;1
17;Mina;w;1
17;Nele;w;1
17;Nora;w;1
17;Pauline;w;1
17;Erik;m;1
17;Mats;m;1
17;Theo;m;1
16;Elisabeth;w;2
16;Helena;w;1
16;Leni;w;1
16;Lisa;w;1
16;Marlene;w;1
16;Christian;m;1
16;Florian;m;1
16;Joshua;m;1
16;Levi;m;1
16;Luis;m;1
16;Niklas;m;1
16;Theodor;m;1
15;Hanna;w;1
15;Johannes;m;1
15;Konstantin;m;1
15;Vincent;m;1
14;Benjamin;m;2
14;Friedrich;m;2
14;Luca;m;2
14;Frieda;w;1
14;Maria;w;1
14;Melina;w;1
14;Fabian;m;1
14;Raphael;m;1
13;Johannes;m;2
13;Michael;m;2
13;Elisa;w;1
13;Luise;w;1
13;Mara;w;1
13;Mira;w;1
13;Romy;w;1
13;Ronja;w;1
13;Sara;w;1
13;Aaron;m;1
13;Mateo;m;1
13;Mohamed;m;1
12;Luisa;w;2
12;Ali;m;2
12;Luise;w;2
12;Johann;m;2
12;Jonathan;m;2
12;Antonia;w;1
12;Eva;w;1
12;Pia;w;1
12;Victoria;w;1
12;Adrian;m;1
12;Amir;m;1
12;Hannes;m;1
12;Karl;m;1
12;Mika;m;1
12;Samuel;m;1
12;Simon;m;1
12;Yusuf;m;1
11;Nur;w;2
11;Sophia;w;2
11;David;m;2
11;Felix;m;2
11;Georg;m;2
11;Henri;m;2
11;Jakob;m;2
11;Leonard;m;2
11;Alina;w;1
11;Frida;w;1
11;Luna;w;1
11;Maya;w;1
11;Olivia;w;1
11;Sofia;w;1
11;Gabriel;m;1
11;Ibrahim;m;1
11;Ilyas;m;1
11;Kilian;m;1
11;Mohammed;m;1
11;Tobias;m;1
10;Maria;w;3
10;Anton;m;2
10;Martin;m;2
