anzahl;vorname;geschlecht;position
103;Marie;w;2
80;Sophie;w;2
64;Noah;m;1
59;Maria;w;2
50;Alexander;m;2
49;Emilia;w;1
49;Leon;m;1
46;Leni;w;1
46;Anton;m;1
46;Ben;m;1
45;Paul;m;1
44;Lina;w;1
44;Elias;m;1
41;Felix;m;1
41;Maximilian;m;2
40;Maximilian;m;1
39;Charlotte;w;1
39;Mila;w;1
38;Marie;w;1
37;Emil;m;1
37;Jonas;m;1
36;Ella;w;1
36;Sophie;w;1
36;Jakob;m;1
35;Emma;w;1
34;Clara;w;1
34;Leonie;w;1
33;Hannah;w;1
33;Sophia;w;1
32;Johanna;w;1
32;Jonathan;m;1
32;Leo;m;1
31;Adam;m;1
31;Finn;m;1
31;Lukas;m;1
31;Theo;m;1
30;Ida;w;1
30;Lena;w;1
30;Marlene;w;1
30;Mia;w;1
30;Tom;m;1
29;Anna;w;1
29;Paul;m;2
28;Benjamin;m;1
28;Henry;m;1
28;Matteo;m;1
27;Emily;w;1
27;David;m;1
27;Luca;m;1
27;Oskar;m;1
26;Jonah;m;1
26;Liam;m;1
25;Lia;w;1
25;Milan;m;1
25;Moritz;m;1
25;Johanna;w;2
24;Elisa;w;1
24;Leonard;m;1
24;Louis;m;1
24;Mats;m;1
24;Max;m;1
23;Lea;w;1
23;Paula;w;1
22;Mathilda;w;1
22;Jan;m;1
22;Elisabeth;w;2
22;Luise;w;2
22;Karl;m;2
21;Luisa;w;1
21;Emilia;w;2
21;Anton;m;2
20;Nora;w;1
20;Levi;m;1
20;Samuel;m;1
20;Charlotte;w;2
20;Emil;m;2
19;Frieda;w;1
19;Hanna;w;1
19;Aaron;m;1
19;Alexander;m;1
19;Katharina;w;2
19;Sophia;w;2
18;Luna;w;1
18;Pauline;w;1
18;Luis;m;1
17;Alma;w;1
17;Johann;m;1
17;Jona;m;1
17;Joshua;m;1
17;Maxim;m;1
17;Philipp;m;1
17;Ali;m;2
16;Katharina;w;1
16;Lara;w;1
16;Mira;w;1
16;Romy;w;1
16;Sofia;w;1
16;Karl;m;1
16;Vincent;m;1
16;Anna;w;2
15;Amira;w;1
15;Isabella;w;1
15;Matilda;w;1
15;Nele;w;1
15;Henri;m;1
15;Linus;m;1
15;Niklas;m;1
15;Tim;m;1
15;Elias;m;2
14;Alina;w;1
14;Frida;w;1
14;Juna;w;1
14;Klara;w;1
14;Lotta;w;1
14;Louisa;w;1
14;Malia;w;1
14;Mara;w;1
14;Maria;w;1
14;Julian;m;1
14;Lio;m;1
14;Milo;m;1
14;Oliver;m;1
14;Valentin;m;1
14;Johann;m;2
14;Michael;m;2
14;Noah;m;2
13;Antonia;w;1
13;Julia;w;1
13;Zoe;w;1
13;Daniel;m;1
13;Yusuf;m;1
13;Elisa;w;2
