anzahl;vorname;geschlecht;position
83;Sophie;w;2
69;Marie;w;2
55;Maria;w;2
47;Felix;m;1
46;Marie;w;1
46;Mia;w;1
43;Lina;w;1
43;Noah;m;1
41;Emilia;w;1
38;Jakob;m;1
38;Leo;m;1
37;Mila;w;1
37;Alexander;m;2
36;Clara;w;1
36;Emil;m;1
35;Emma;w;1
34;Ella;w;1
34;Leonie;w;1
34;Elias;m;1
33;Finn;m;1
33;Liam;m;1
33;Paul;m;1
29;Anton;m;1
29;Max;m;1
28;Lea;w;1
28;Adam;m;1
28;Jonathan;m;1
28;Theo;m;1
28;Maximilian;m;2
27;Anna;w;1
27;David;m;1
27;Jonas;m;1
27;Levi;m;1
27;Emilia;w;2
26;Sophie;w;1
26;Maximilian;m;1
26;Oskar;m;1
25;Leon;m;1
25;Lukas;m;1
24;Leni;w;1
24;Lio;m;1
24;Luca;m;1
23;Charlotte;w;1
23;Elisa;w;1
23;Hanna;w;1
23;Sophia;w;1
23;Ben;m;1
23;Jonah;m;1
23;Louis;m;1
22;Lilly;w;1
22;Alexander;m;1
22;Charlotte;w;2
22;Katharina;w;2
21;Luna;w;1
21;Mira;w;1
21;Paula;w;1
21;Sophia;w;2
20;Emily;w;1
20;Ida;w;1
20;Lena;w;1
20;Lia;w;1
20;Benjamin;m;1
20;Matteo;m;1
20;Milan;m;1
19;Antonia;w;1
19;Lara;w;1
19;Luisa;w;1
19;Henri;m;1
19;Milo;m;1
19;Luise;w;2
19;Elias;m;2
18;Johanna;w;1
18;Henry;m;1
18;Leonard;m;1
18;Anton;m;2
17;Amelie;w;1
17;Nele;w;1
17;Nora;w;1
17;Tilda;w;1
17;Emilio;m;1
17;Julian;m;1
17;Mats;m;1
17;Johannes;m;2
16;Isabella;w;1
16;Julia;w;1
16;Malia;w;1
16;Maria;w;1
16;Amir;m;1
16;Toni;m;1
16;Elisa;w;2
15;Mathilda;w;1
15;Merle;w;1
15;Moritz;m;1
15;Elisabeth;w;2
15;Karl;m;2
15;Paul;m;2
14;Helena;w;1
14;Olivia;w;1
14;Pauline;w;1
14;Ronja;w;1
14;Julius;m;1
14;Luis;m;1
14;Ole;m;1
14;Tim;m;1
14;Valentin;m;1
14;Johanna;w;2
13;Hannah;w;1
13;Louisa;w;1
13;Marlene;w;1
13;Sofia;w;1
13;Jan;m;1
13;Jona;m;1
13;Malik;m;1
13;Samuel;m;1
13;Tom;m;1
13;Gabriel;m;2
12;Amara;w;1
12;Fiona;w;1
12;Juna;w;1
12;Laura;w;1
12;Mina;w;1
12;Thea;w;1
12;Ilyas;m;1
12;Jannis;m;1
12;Johann;m;1
12;Mattis;m;1
12;Mika;m;1
12;Nils;m;1
12;Louise;w;2
12;Leonard;m;2
12;Matthias;m;2
11;Eva;w;1
11;Frieda;w;1
