anzahl;vorname;geschlecht;position
74;Marie;w;2
59;Sophie;w;2
53;Emma;w;1
47;Marie;w;1
46;Noah;m;1
42;Maria;w;2
41;Paul;m;1
39;Emilia;w;1
39;Elias;m;1
38;Leon;m;1
35;Clara;w;1
35;Mia;w;1
35;Anton;m;1
35;Emil;m;1
34;Luca;m;1
32;Mila;w;1
32;Felix;m;1
31;Theo;m;1
30;Ella;w;1
30;Lina;w;1
29;Charlotte;w;1
29;Sophia;w;1
29;Leo;m;1
28;Jakob;m;1
27;Amelie;w;1
27;Ida;w;1
27;Ben;m;1
27;Jonathan;m;1
27;Liam;m;1
27;Milan;m;1
26;Henry;m;1
25;Leni;w;1
25;Adam;m;1
25;Alexander;m;2
24;Jonas;m;1
23;Luisa;w;1
23;Mats;m;1
22;Lia;w;1
21;Lea;w;1
21;Mathilda;w;1
21;Levi;m;1
21;Maximilian;m;1
21;Sophia;w;2
21;Maximilian;m;2
20;Emily;w;1
20;Charlotte;w;2
20;Emilia;w;2
19;Leonie;w;1
19;Mira;w;1
19;Nora;w;1
19;Benjamin;m;1
19;Finn;m;1
19;Jan;m;1
19;Moritz;m;1
19;Elisabeth;w;2
18;Elisa;w;1
18;Hannah;w;1
18;Lotta;w;1
18;David;m;1
18;Gabriel;m;1
18;Toni;m;1
17;Malia;w;1
17;Marlene;w;1
17;Paulina;w;1
17;Sophie;w;1
17;Lio;m;1
17;Oskar;m;1
17;Elias;m;2
17;Paul;m;2
16;Amira;w;1
16;Jana;w;1
16;Johanna;w;1
16;Lara;w;1
16;Nele;w;1
16;Carlo;m;1
16;Matteo;m;1
16;Max;m;1
15;Isabella;w;1
15;Romy;w;1
15;Ilyas;m;1
15;Jonah;m;1
15;Leonard;m;1
15;Lukas;m;1
15;Malik;m;1
15;Milo;m;1
15;Emil;m;2
14;Alma;w;1
14;Eva;w;1
14;Lena;w;1
14;Ronja;w;1
14;Tilda;w;1
14;Aaron;m;1
14;Alexander;m;1
14;Julian;m;1
14;Vincent;m;1
14;Johanna;w;2
14;Anton;m;2
14;Josef;m;2
13;Amalia;w;1
13;Anna;w;1
13;Antonia;w;1
13;Ava;w;1
13;Helena;w;1
13;Luna;w;1
13;Olivia;w;1
13;Jannis;m;1
13;Katharina;w;2
12;Laura;w;1
12;Lilly;w;1
12;Livia;w;1
12;Merle;w;1
12;Paula;w;1
12;Henri;m;1
12;Jona;m;1
12;Luis;m;1
12;Mika;m;1
12;Samuel;m;1
11;Amina;w;1
11;Aurelia;w;1
11;Elena;w;1
11;Elina;w;1
11;Frida;w;1
11;Julia;w;1
11;Klara;w;1
11;Maja;w;1
11;Maria;w;1
11;Adrian;m;1
11;Joshua;m;1
11;Justus;m;1
11;Karl;m;1
11;Maxim;m;1
11;Niklas;m;1
11;Benjamin;m;2
11;Gabriel;m;2
11;Johann;m;2
11;Johannes;m;2
10;Maya;w;1
10;Melina;w;1
10;Pauline;w;1
10;Sara;w;1
10;Sofia;w;1
10;Victoria;w;1
10;Daniel;m;1
10;Enno;m;1
10;Luan;m;1
10;Mateo;m;1
10;Miran;m;1
10;Mohamed;m;1
10;Yusuf;m;1
10;Felix;m;2
10;Karl;m;2
9;Alea;w;1
9;Amaya;w;1
9;Ayla;w;1
9;Edda;w;1
9;Frieda;w;1
9;Juna;w;1
9;Liana;w;1
9;Mara;w;1
9;Nelia;w;1
9;Carl;m;1
9;Constantin;m;1
9;Fiete;m;1
9;Hamza;m;1
9;Johann;m;1
9;Louis;m;1
9;Malte;m;1
9;Marlon;m;1
9;Mohammad;m;1
9;Muhammad;m;1
9;Nils;m;1
9;Philipp;m;1
9;Theodor;m;1
9;Tim;m;1
9;Luisa;w;2
9;David;m;2
9;Michael;m;2
9;Theo;m;2
8;Amelia;w;1
8;Dua;w;1
8;Ela;w;1
8;Elif;w;1
8;Layan;w;1
8;Lilli;w;1
8;Louisa;w;1
8;Mariam;w;1
8;Matilda;w;1
8;Medina;w;1
8;Rosa;w;1
8;Thea;w;1
8;Ali;m;1
8;Amir;m;1
8;Arian;m;1
8;Elian;m;1
8;Julius;m;1
8;Kilian;m;1
8;Leonardo;m;1
8;Lino;m;1
8;Linus;m;1
8;Till;m;1
8;Tom;m;1
8;Valentin;m;1
8;Aurelia;w;2
8;Elise;w;2
8;Luise;w;2
8;Leo;m;2
8;Levi;m;2
8;Ludwig;m;2
8;Peter;m;2
8;Thomas;m;2
7;Hanna;w;1
7;Liv;w;1
7;Luise;w;1
7;Malina;w;1
7;Noemi;w;1
7;Pia;w;1
7;Theresa;w;1
7;Ahmad;m;1
7;Issa;m;1
7;Jaron;m;1
7;Levin;m;1
7;Nael;m;1
7;Ole;m;1
7;Rafael;m;1
7;Raphael;m;1
7;Sam;m;1
7;Antonia;w;2
7;Marlene;w;2
7;Victoria;w;2
7;Andreas;m;2
7;Henri;m;2
7;Jakob;m;2
7;Louis;m;2
7;Martin;m;2
7;Matteo;m;2
7;Noah;m;2
7;Valentin;m;2
6;Aaliyah;w;1
6;Amara;w;1
6;Aurora;w;1
6;Diana;w;1
6;Emmi;w;1
6;Isabelle;w;1
6;Josephine;w;1
6;Liliana;w;1
6;Linda;w;1
6;Lotte;w;1
6;Luana;w;1
6;Lucia;w;1
6;Malak;w;1
6;Martha;w;1
6;Mina;w;1
6;Nour;w;1
6;Rosalie;w;1
6;Sarah;w;1
6;Zoe;w;1
6;Ayan;m;1
6;Bruno;m;1
6;Damian;m;1
6;Emilian;m;1
6;Erik;m;1
6;Fritz;m;1
6;Jamal;m;1
6;Johannes;m;1
6;Jonte;m;1
6;Juri;m;1
6;Lasse;m;1
6;Leano;m;1
6;Lion;m;1
6;Luka;m;1
6;Martin;m;1
6;Mohammed;m;1
6;Muhammed;m;1
6;Musa;m;1
6;Nico;m;1
6;Richard;m;1
6;Simon;m;1
6;Zayn;m;1
6;Amelie;w;2
6;Anna;w;2
6;Ida;w;2
6;Isabella;w;2
6;Josefine;w;2
6;Lou;w;2
6;Valentina;w;2
6;Ali;m;2
6;Georg;m;2
6;Matthias;m;2
6;Maria;w;3
6;Marie;w;3
5;Alina;w;1
5;Anastasia;w;1
5;Carla;w;1
5;Finja;w;1
5;Fiona;w;1
5;Freya;w;1
5;Inaya;w;1
5;Jule;w;1
5;Katharina;w;1
5;Khadija;w;1
5;Kiara;w;1
5;Kira;w;1
5;Liya;w;1
5;Madita;w;1
5;Malea;w;1
5;Malou;w;1
5;Marla;w;1
5;Maryam;w;1
5;Sina;w;1
5;Valeria;w;1
5;Zeynep;w;1
5;Ayaz;m;1
5;Bela;m;1
5;Dean;m;1
5;Emilio;m;1
5;Emir;m;1
5;Ferdinand;m;1
5;Frederik;m;1
5;Hannes;m;1
5;Ibrahim;m;1
5;Ismail;m;1
5;Ivan;m;1
5;Jannik;m;1
5;Kaan;m;1
5;Karim;m;1
5;Kiyan;m;1
5;Konstantin;m;1
5;Luke;m;1
5;Mark;m;1
5;Nick;m;1
5;Nikolas;m;1
5;Younes;m;1
5;Yunus;m;1
5;Zain;m;1
5;Carlotta;w;2
5;Christel;w;2
5;Elisa;w;2
5;Helena;w;2
5;Louise;w;2
5;Margarete;w;2
5;Martha;w;2
5;Mathilda;w;2
5;Nur;w;2
5;Paulina;w;2
5;Sofie;w;2
5;Bruno;m;2
5;Christian;m;2
5;Emilian;m;2
5;Emilio;m;2
5;Frederik;m;2
5;Friedrich;m;2
5;Fritz;m;2
5;Henry;m;2
5;Jürgen;m;2
5;Malik;m;2
5;Oskar;m;2
5;Philipp;m;2
5;Raphael;m;2
5;Robert;m;2
5;Samuel;m;2
5;Stefan;m;2
5;Wilhelm;m;2
5;Friedrich;m;3
4;Alessia;w;1
4;Alva;w;1
4;Amal;w;1
4;Annika;w;1
4;Asel;w;1
4;Aylin;w;1
4;Carlotta;w;1
4;Clea;w;1
4;Elea;w;1
4;Eliana;w;1
4;Evelyn;w;1
4;Fatima;w;1
4;Flora;w;1
4;Hafsa;w;1
4;Hira;w;1
4;Jara;w;1
4;Jasmin;w;1
4;Kaya;w;1
4;Layla;w;1
4;Leyla;w;1
4;Liah;w;1
4;Lisa;w;1
4;Liva;w;1
4;Liyana;w;1
4;Lynn;w;1
4;Maila;w;1
4;Marleen;w;1
4;Mathea;w;1
4;Mayra;w;1
4;Miriam;w;1
4;Mona;w;1
4;Naemi;w;1
4;Naomi;w;1
4;Narin;w;1
4;Noelia;w;1
4;Philippa;w;1
4;Selma;w;1
4;Valentina;w;1
4;Viktoria;w;1
4;Yuna;w;1
4;Abdullah;m;1
4;Adem;m;1
4;Ahmed;m;1
4;Alessio;m;1
4;Amin;m;1
4;Anas;m;1
4;Artur;m;1
4;Azad;m;1
4;Benedikt;m;1
4;Benno;m;1
4;Christian;m;1
4;Diego;m;1
4;Eliah;m;1
4;Fabian;m;1
4;Franz;m;1
4;Friedrich;m;1
4;Fynn;m;1
4;Harun;m;1
4;Henrik;m;1
4;Ian;m;1
4;Isa;m;1
4;Janosch;m;1
4;Jari;m;1
4;Jonne;m;1
4;Josef;m;1
4;Kai;m;1
4;Kian;m;1
4;Leander;m;1
4;Lenn;m;1
4;Lennard;m;1
4;Lian;m;1
4;Lias;m;1
4;Magnus;m;1
4;Matthias;m;1
4;Matti;m;1
4;Michael;m;1
4;Miron;m;1
4;Mohamad;m;1
4;Nevio;m;1
4;Nicolas;m;1
