vorname;anzahl;geschlecht
Marie;133;w
Sophie;132;w
Maria;81;w
Maximilian;80;m
Alexander;76;m
Paul;64;m
Emilia;64;w
Johanna;63;w
Felix;56;m
Charlotte;53;w
Mia;51;w
Jonas;50;m
Jonathan;50;m
Leon;50;m
Anna;50;w
Elias;49;m
Emma;48;w
Jan;47;m
David;46;m
Noah;44;m
Katharina;43;w
Jakob;43;m
Luca;43;m
Luisa;41;w
Julius;40;m
Sophia;39;w
Clara;38;w
Lena;38;w
Michael;38;m
Julian;36;m
Moritz;36;m
Philipp;36;m
Elisa;35;w
Ben;34;m
Lina;33;w
Anton;31;m
Finn;31;m
Samuel;31;m
Julia;30;w
Luise;30;w
Elisabeth;29;w
Leonie;29;w
Benjamin;28;m
Daniel;28;m
Tim;28;m
Emil;27;m
Johannes;27;m
Ella;26;w
Lea;26;w
Johann;26;m
Niklas;26;m
Antonia;25;w
Mathilda;25;w
Max;25;m
Marlene;24;w
Henri;24;m
Leonard;24;m
Lukas;24;m
Simon;24;m
Amelie;23;w
Isabella;23;w
Laura;23;w
Leo;23;m
Hannah;22;w
Helene;22;w
Paula;22;w
Sebastian;22;m
Ida;21;w
Lotta;21;w
Benedikt;21;m
Sofia;20;w
Christian;20;m
Peter;20;m
Hanna;19;w
Mila;19;w
Karl;19;m
Luis;19;m
Oskar;19;m
Valentin;19;m
Greta;18;w
Lara;18;w
Adam;18;m
Ali;18;m
Josefine;17;w
Leni;17;w
Maya;17;w
Sara;17;w
Constantin;17;m
Erik;17;m
Florian;17;m
Frederik;17;m
Tom;17;m
Vincent;17;m
Emily;16;w
Lisa;16;w
Gabriel;16;m
Henry;16;m
Joel;16;m
Ole;16;m
Theodor;16;m
Helena;15;w
Klara;15;w
Lilly;15;w
Maja;15;w
Sarah;15;w
Matthias;15;m
Mohamed;15;m
Louisa;14;w
Louise;14;w
Mina;14;w
Fabian;14;m
Linus;14;m
Theo;14;m
Alexandra;13;w
Alina;13;w
Adrian;13;m
Franz;13;m
Konstantin;13;m
Louis;13;m
Franziska;12;w
Frieda;12;w
Jana;12;w
Jasmin;12;w
Martha;12;w
Nele;12;w
Victoria;12;w
Joshua;12;m
Justus;12;m
Mats;12;m
Robin;12;m
Annika;11;w
Fiona;11;w
Magdalena;11;w
Matilda;11;w
Melina;11;w
Olivia;11;w
Pauline;11;w
Pia;11;w
Carl;11;m
Viktoria;11;w
Friedrich;11;m
Josef;11;m
Lasse;11;m
Martin;11;m
Milan;11;m
Nico;11;m
Nils;11;m
Oliver;11;m
Richard;11;m
Frida;10;w
Isabel;10;w
Josephine;10;w
Madita;10;w
Sofie;10;w
Dominik;10;m
Ferdinand;10;m
Kai;10;m
Mika;10;m
Nick;10;m
Rafael;10;m
Tobias;10;m
Amalia;9;w
Carlotta;9;w
Friederike;9;w
Lucia;9;w
Mara;9;w
Valentina;9;w
Amir;9;m
Bilal;9;m
Clemens;9;m
Emir;9;m
kein;9;m
Lars;9;m
Lennart;9;m
Liam;9;m
Manuel;9;m
Maxim;9;m
Raphael;9;m
Robert;9;m
Timo;9;m
Vorname;9;m
Wilhelm;9;m
Carla;8;w
Elena;8;w
Eva;8;w
Jule;8;w
Lilith;8;w
Lotte;8;w
Nina;8;w
Aaron;8;m
Arian;8;m
Damian;8;m
Fynn;8;m
Georg;8;m
Hamza;8;m
Hannes;8;m
Ian;8;m
Ibrahim;8;m
John;8;m
Konrad;8;m
Lennard;8;m
Leopold;8;m
Matteo;8;m
Mohammad;8;m
Nicolas;8;m
noch;8;m
Philip;8;m
Yusuf;8;m
Amina;7;w
Fatima;7;w
Isabell;7;w
Janina;7;w
kein;7;w
Lia;7;w
Margarete;7;w
Miriam;7;w
Nora;7;w
Nur;7;w
Paulina;7;w
Theresa;7;w
Vorname;7;w
Andreas;7;m
Arthur;7;m
Christopher;7;m
Eric;7;m
Hugo;7;m
Jason;7;m
Jasper;7;m
Laurenz;7;m
Leander;7;m
Levin;7;m
Lian;7;m
Lucas;7;m
Marcel;7;m
Mattis;7;m
Mohammed;7;m
Niclas;7;m
Viktor;7;m
Anastasia;6;w
Aurelia;6;w
Cecilia;6;w
Celine;6;w
Christin;6;w
