vorname;anzahl;geschlecht
Marie;155;w
Sophie;131;w
Maria;92;w
Maximilian;84;m
Alexander;83;m
Johanna;74;w
Jonas;71;m
Noah;69;m
Sophia;66;w
Charlotte;62;w
Felix;60;m
Anna;60;w
Paul;58;m
Anton;56;m
Emilia;56;w
Mia;55;w
Ben;54;m
Elias;54;m
Jonathan;47;m
Emma;46;w
Leon;44;m
Lina;44;w
Jakob;41;m
David;40;m
Elisabeth;38;w
Lena;38;w
Leonard;37;m
Katharina;36;w
Benjamin;36;m
Julian;36;m
Luisa;35;w
Emil;35;m
Jan;35;m
Leonie;33;w
Mila;33;w
Lukas;33;m
Max;33;m
Philipp;33;m
Clara;32;w
Ida;32;w
Johann;32;m
Niklas;32;m
Laura;31;w
Paula;31;w
Leo;31;m
Louis;31;m
Luise;30;w
Lea;29;w
Sofia;29;w
Moritz;29;m
Daniel;28;m
Julius;28;m
Tim;28;m
Leni;27;w
Marlene;27;w
Mats;27;m
Greta;26;w
Johannes;26;m
Milan;26;m
Oskar;26;m
Theo;26;m
Theodor;26;m
Victoria;25;w
Amelie;24;w
Hanna;24;w
Sarah;24;w
Josefine;23;w
Julia;23;w
Lara;23;w
Mathilda;23;w
Ali;23;m
Viktoria;23;w
Luca;23;m
Martin;23;m
Ella;22;w
Hannah;22;w
Liam;22;m
Lotta;22;w
Luis;22;m
Michael;22;m
Tom;22;m
Valentin;22;m
Vincent;22;m
Elisa;21;w
Lisa;21;w
Adam;21;m
Henri;21;m
Karl;21;m
Samuel;21;m
Antonia;20;w
Emily;20;w
Benedikt;20;m
Finn;20;m
Maxim;20;m
Wilhelm;20;m
Jana;19;w
Klara;19;w
Adrian;19;m
Florian;19;m
Gabriel;19;m
Henry;19;m
Josef;19;m
Simon;19;m
Nele;18;w
Nora;18;w
Linus;18;m
Peter;18;m
Frieda;17;w
Maya;17;w
Mira;17;w
Christian;17;m
Frida;16;w
Aaron;16;m
Carl;16;m
Fabian;16;m
Mohamed;16;m
Robin;16;m
Yusuf;16;m
Justus;15;m
Sebastian;15;m
Timo;15;m
Eva;14;w
Sara;14;w
Theresa;14;w
Clemens;14;m
Emilian;14;m
Ole;14;m
Raphael;14;m
Tobias;14;m
Ava;13;w
Carlotta;13;w
Louisa;13;w
Matilda;13;w
Hannes;13;m
Ibrahim;13;m
Joshua;13;m
Alexandra;12;w
Annika;12;w
Josephine;12;w
Lia;12;w
Maja;12;w
Mina;12;w
Pauline;12;w
Erik;12;m
Frederik;12;m
Friedrich;12;m
Fynn;12;m
Jacob;12;m
Joel;12;m
Jonah;12;m
Mika;12;m
Nicolas;12;m
Alina;11;w
Flora;11;w
Linda;11;w
Melina;11;w
Merle;11;w
Sofie;11;w
Valentina;11;w
Ahmed;11;m
Emilio;11;m
Jannis;11;m
Konstantin;11;m
Levi;11;m
Lian;11;m
Matteo;11;m
Muhammed;11;m
Elena;10;w
Elina;10;w
Emilie;10;w
Franziska;10;w
Helene;10;w
Isabella;10;w
Juna;10;w
Paulina;10;w
Arthur;10;m
Fritz;10;m
Malik;10;m
Nils;10;m
Rafael;10;m
Amalia;9;w
Helena;9;w
Isabel;9;w
Liv;9;w
Luna;9;w
Tabea;9;w
Thea;9;w
Alessio;9;m
Andreas;9;m
Constantin;9;m
Emir;9;m
Kilian;9;m
Lasse;9;m
Lennard;9;m
Leopold;9;m
Luke;9;m
Marlon;9;m
Mohammed;9;m
Otto;9;m
Alessia;8;w
Alice;8;w
Amelia;8;w
Anni;8;w
Elif;8;w
Finja;8;w
Isabell;8;w
Jasmin;8;w
Magdalena;8;w
Mariam;8;w
Marleen;8;w
Martha;8;w
Maryam;8;w
Meryem;8;w
Mohamed;8;w
Nur;8;w
Olivia;8;w
Rosa;8;w
Zoe;8;w
Arian;8;m
Bruno;8;m
Carlo;8;m
Ferdinand;8;m
Georg;8;m
Ilyas;8;m
John;8;m
Leonhard;8;m
Mathis;8;m
Mustafa;8;m
Noel;8;m
Oliver;8;m
Robert;8;m
Sam;8;m
Amira;7;w
Annelie;7;w
Dana;7;w
Elise;7;w
Lilly;7;w
Mara;7;w
Milla;7;w
Miriam;7;w
Nina;7;w
Philippa;7;w
Pia;7;w
Stella;7;w
Amir;7;m
Bennet;7;m
Damian;7;m
Dominik;7;m
Emanuel;7;m
Enno;7;m
Frederick;7;m
Gustav;7;m
Hans;7;m
Jasper;7;m
Jona;7;m
Kai;7;m
Lars;7;m
Ludwig;7;m
Matthias;7;m
Nathan;7;m
Omar;7;m
Oscar;7;m
Phil;7;m
Richard;7;m
Stefan;7;m
Alma;6;w
Carolin;6;w
Caroline;6;w
Christine;6;w
Eliana;6;w
Felicitas;6;w
Freya;6;w
Hira;6;w
Jolie;6;w
Leona;6;w
Lilli;6;w
Lily;6;w
Livia;6;w
Lotte;6;w
Madita;6;w
Margarete;6;w
Marla;6;w
Mayla;6;w
Melissa;6;w
Melody;6;w
Milena;6;w
Nour;6;w
Yasmin;6;w
Zehra;6;w
Aram;6;m
Can;6;m
Eric;6;m
Franz;6;m
Heinrich;6;m
Jannik;6;m
Jaron;6;m
Leander;6;m
Lucas;6;m
Magnus;6;m
Manuel;6;m
Milo;6;m
Mohammad;6;m
Nick;6;m
Nikolas;6;m
Pepe;6;m
Thomas;6;m
Till;6;m
Alisa;5;w
Amina;5;w
Anastasia;5;w
Aurora;5;w
Carla;5;w
Carolina;5;w
Chloé;5;w
Diana;5;w
Fiona;5;w
Henriette;5;w
Joleen;5;w
Karlotta;5;w
Khadija;5;w
Leana;5;w
Liana;5;w
Lucy;5;w
Lynn;5;w
Malia;5;w
Milana;5;w
Mona;5;w
Philine;5;w
Rosalie;5;w
Rose;5;w
Alessandro;5;m
Salome;5;w
Amadeus;5;m
Sina;5;w
Benno;5;m
Tasnim;5;w
Berat;5;m
Tessa;5;w
Bilal;5;m
Tilda;5;w
Christoph;5;m
Vanessa;5;w
Eliah;5;m
Wilhelmine;5;w
Elyas;5;m
Zeynep;5;w
Fabio;5;m
Günter;5;m
Hamza;5;m
Hassan;5;m
Henrik;5;m
Ilias;5;m
James;5;m
Karim;5;m
Kian;5;m
Konrad;5;m
Lenny;5;m
Leonardo;5;m
Levin;5;m
Malte;5;m
Marc;5;m
Marco;5;m
Maria;5;m
Mattis;5;m
Mert;5;m
Michel;5;m
Mio;5;m
Nico;5;m
Nikita;5;m
Philip;5;m
Titus;5;m
Tristan;5;m
Walter;5;m
Werner;5;m
Yousef;5;m
Youssef;5;m
Yunus;5;m
Adriana;4;w
Ahmed;4;w
Alexa;4;w
Aliya;4;w
Amélie;4;w
Ana;4;w
Anisa;4;w
Aurelia;4;w
Chiara;4;w
Christina;4;w
Claire;4;w
Dalia;4;w
Defne;4;w
Dorothea;4;w
Edda;4;w
Eleonora;4;w
Elin;4;w
Ellen;4;w
Emelie;4;w
Emmy;4;w
Gloria;4;w
Iman;4;w
Isabelle;4;w
Jamila;4;w
Janne;4;w
Jette;4;w
Jonna;4;w
Jule;4;w
Juliana;4;w
Leonora;4;w
Lucia;4;w
Ahmad;4;m
Malena;4;w
Alan;4;m
Malina;4;w
Albert;4;m
Malou;4;w
Antonius;4;m
Mariella;4;w
Artur;4;m
Mathilde;4;w
Ayman;4;m
Medina;4;w
Azad;4;m
Michelle;4;w
Cornelius;4;m
Neele;4;w
Elian;4;m
Ronja;4;w
Evan;4;m
Selma;4;w
Harun;4;m
Su;4;w
Henning;4;m
Valerie;4;w
Hugo;4;m
Vivien;4;w
Ilja;4;m
Yara;4;w
Ismael;4;m
Zoé;4;w
Ismail;4;m
Jayden;4;m
Jonne;4;m
Joris;4;m
Klaas;4;m
Kurt;4;m
Laurenz;4;m
Lennart;4;m
Lias;4;m
Marcel;4;m
Marian;4;m
Mark;4;m
Markus;4;m
Mateo;4;m
Matheo;4;m
Matti;4;m
Mike;4;m
Milian;4;m
Muhammad;4;m
Patrick;4;m
Ragnar;4;m
Ruben;4;m
Said;4;m
Salih;4;m
Timur;4;m
Umut;4;m
William;4;m
Wolfgang;4;m
Younes;4;m
Aaliyah;3;w
Alicia;3;w
Alissa;3;w
Amy;3;w
Angela;3;w
Angelika;3;w
Angelina;3;w
Anissa;3;w
Anna-Maria;3;w
Annabelle;3;w
Anne;3;w
Anouk;3;w
Aya;3;w
Ayla;3;w
Bella;3;w
Catalina;3;w
Chelsea;3;w
Delia;3;w
Dilara;3;w
Edith;3;w
Elea;3;w
Eleonore;3;w
Emely;3;w
Enisa;3;w
Erika;3;w
Eslem;3;w
Esma;3;w
Estelle;3;w
Esther;3;w
Abdul;3;m
Fabienne;3;w
Abdulrahman;3;m
Fatima;3;w
Alfons;3;m
Fatma;3;w
Amin;3;m
Feline;3;w
Anas;3;m
Friederike;3;w
Andrew;3;m
Gabriele;3;w
Antonio;3;m
Giulia;3;w
Arne;3;m
Grace;3;w
Artjom;3;m
Hailey;3;w
Arvid;3;m
Havin;3;w
Bela;3;m
Irene;3;w
Bernhard;3;m
Joanna;3;w
Boris;3;m
Joy;3;w
Carlos;3;m
Judith;3;w
Caspar;3;m
Julie;3;w
Christopher;3;m
Juno;3;w
Conrad;3;m
Karina;3;w
Davis;3;m
Karolina;3;w
Eduard;3;m
Karoline;3;w
Edwin;3;m
Kate;3;w
Emirhan;3;m
Kaur;3;w
Emmanuel;3;m
Kristina;3;w
Erich;3;m
Lamia;3;w
Eymen;3;m
Layan;3;w
Frederic;3;m
Leah;3;w
Furkan;3;m
Leandra;3;w
Gerhard;3;m
Lene;3;w
Giuliano;3;m
Leyla;3;w
Hamad;3;m
Lilia;3;w
Hendrik;3;m
Lilian;3;w
Ian;3;m
Liliana;3;w
Jannes;3;m
Linh;3;w
Jano;3;m
Linn;3;w
Janosch;3;m
Liyana;3;w
Jari;3;m
Lou;3;w
Jascha;3;m
Louise;3;w
Jerome;3;m
Luana;3;w
Joachim;3;m
Luca;3;w
Johan;3;m
Madeleine;3;w
Joseph;3;m
Mahmoud;3;w
Julien;3;m
Marina;3;w
Kaan;3;m
Marisa;3;w
