vorname;anzahl;geschlecht;position
Marie;66;w;2
Sophie;65;w;2
Leon;51;m;1
Lina;43;w;1
Paul;42;m;1
Felix;41;m;1
Mia;39;w;1
Noah;39;m;1
Maria;38;w;2
Theo;37;m;1
Leo;35;m;1
Jakob;34;m;1
Emilia;33;w;1
Adam;33;m;1
Emma;32;w;1
Liam;32;m;1
Marie;31;w;1
Henry;31;m;1
Clara;30;w;1
Elias;30;m;1
Malia;29;w;1
Anton;28;m;1
Ben;28;m;1
Lea;27;w;1
Levi;27;m;1
Milan;26;m;1
Alexander;26;m;2
Ella;25;w;1
Sophia;25;w;1
Emil;25;m;1
Hannah;24;w;1
Finn;24;m;1
Maximilian;24;m;1
Luna;23;w;1
Gabriel;23;m;1
Luca;23;m;1
Matteo;23;m;1
Lena;22;w;1
Leni;22;w;1
Mila;22;w;1
Jonas;22;m;1
Paul;22;m;2
Johanna;20;w;1
Lukas;20;m;1
Johannes;20;m;2
Romy;19;w;1
Sofia;19;w;1
Aaron;19;m;1
Charlotte;19;w;2
Maximilian;19;m;2
Amelie;18;w;1
Ayla;18;w;1
Emily;18;w;1
Lia;18;w;1
Henri;18;m;1
Hanna;17;w;1
Lara;17;w;1
Mathilda;17;w;1
Nora;17;w;1
Paula;17;w;1
Alexander;17;m;1
Leonard;17;m;1
Samuel;17;m;1
Elisabeth;17;w;2
Anna;16;w;1
Antonia;16;w;1
Elisa;16;w;1
Leonie;16;w;1
Lilly;16;w;1
Lotta;16;w;1
Sophie;16;w;1
Benjamin;16;m;1
Carlo;16;m;1
Jonathan;16;m;1
Julian;16;m;1
Linus;16;m;1
Marlon;16;m;1
Moritz;16;m;1
Theodor;16;m;1
Charlotte;15;w;1
Frieda;15;w;1
David;15;m;1
Lio;15;m;1
Mats;15;m;1
Emilia;15;w;2
Elias;15;m;2
Ida;14;w;1
Isabella;14;w;1
Luisa;14;w;1
Merle;14;w;1
Olivia;14;w;1
Max;14;m;1
Milo;14;m;1
Oskar;14;m;1
Katharina;14;w;2
Noah;14;m;2
Theodor;14;m;2
Amalia;13;w;1
Ava;13;w;1
Carla;13;w;1
Liana;13;w;1
Maria;13;w;1
Thea;13;w;1
Tilda;13;w;1
Karl;13;m;1
Kian;13;m;1
Malik;13;m;1
Emil;13;m;2
Gabriel;13;m;2
Elina;12;w;1
Eva;12;w;1
Finja;12;w;1
Adrian;12;m;1
Emilio;12;m;1
Leano;12;m;1
Lian;12;m;1
Vincent;12;m;1
Amaya;11;w;1
Juna;11;w;1
Liyana;11;w;1
Louisa;11;w;1
Malina;11;w;1
Mara;11;w;1
Marlene;11;w;1
Maya;11;w;1
Nele;11;w;1
Arian;11;m;1
Daniel;11;m;1
Johann;11;m;1
Joshua;11;m;1
Louis;11;m;1
Maxim;11;m;1
Valentin;11;m;1
Anna;11;w;2
Johanna;11;w;2
Amelia;10;w;1
Elin;10;w;1
Maja;10;w;1
Paulina;10;w;1
Ronja;10;w;1
Jonah;10;m;1
Julius;10;m;1
Miran;10;m;1
Noel;10;m;1
Oliver;10;m;1
Tom;10;m;1
Yasin;10;m;1
Sophia;10;w;2
Anton;10;m;2
Christian;10;m;2
Karl;10;m;2
Amira;9;w;1
Aurelia;9;w;1
Frida;9;w;1
Hailey;9;w;1
Inaya;9;w;1
Klara;9;w;1
Liv;9;w;1
Luise;9;w;1
Matilda;9;w;1
Sarah;9;w;1
Ahmad;9;m;1
Amir;9;m;1
Fritz;9;m;1
Hamza;9;m;1
Jona;9;m;1
Luis;9;m;1
Mateo;9;m;1
Mika;9;m;1
Nico;9;m;1
Robin;9;m;1
Yusuf;9;m;1
Malou;9;w;2
Luca;9;m;2
Matteo;9;m;2
Peter;9;m;2
Philipp;9;m;2
Amara;8;w;1
Lavin;8;w;1
Lisa;8;w;1
Lucia;8;w;1
Mayla;8;w;1
Mina;8;w;1
Mira;8;w;1
Mona;8;w;1
Hannes;8;m;1
Ibrahim;8;m;1
Imran;8;m;1
Jonte;8;m;1
Luka;8;m;1
Mark;8;m;1
Omar;8;m;1
Toni;8;m;1
Amalia;8;w;2
Isabella;8;w;2
Victoria;8;w;2
Andreas;8;m;2
Constantin;8;m;2
Emilio;8;m;2
Jakob;8;m;2
Samuel;8;m;2
Valentin;8;m;2
Alessia;7;w;1
Alina;7;w;1
Alma;7;w;1
Amilia;7;w;1
Carlotta;7;w;1
Elena;7;w;1
Helena;7;w;1
Jasmin;7;w;1
Livia;7;w;1
Liya;7;w;1
Maila;7;w;1
Mariella;7;w;1
Nina;7;w;1
Pauline;7;w;1
Frederik;7;m;1
Levin;7;m;1
Ludwig;7;m;1
Niklas;7;m;1
Phil;7;m;1
Raphael;7;m;1
Helene;7;w;2
Josefine;7;w;2
Luisa;7;w;2
Rosa;7;w;2
Sofia;7;w;2
Sofie;7;w;2
Ali;7;m;2
Can;7;m;2
Felix;7;m;2
Jan;7;m;2
Jonathan;7;m;2
Leander;7;m;2
Theo;7;m;2
Wilhelm;7;m;2
Aisha;6;w;1
Alea;6;w;1
Amina;6;w;1
Aurora;6;w;1
Cleo;6;w;1
Dua;6;w;1
Edda;6;w;1
Ela;6;w;1
Elisabeth;6;w;1
Fiona;6;w;1
Josephine;6;w;1
Liara;6;w;1
Malea;6;w;1
Malou;6;w;1
Naila;6;w;1
Philippa;6;w;1
Yuna;6;w;1
Antonio;6;m;1
Aslan;6;m;1
Damian;6;m;1
Enno;6;m;1
Fiete;6;m;1
Ilyas;6;m;1
Isa;6;m;1
