vorname,anzahl
Aadhya,1
Aaliyah,5
Aarez,1
Aaron,14
Abbas,1
Abby,1
Abdallah,2
Abdelhamid,1
Abdirahman,1
Abdo,1
Abdul,1
Abdul-Malik,1
Abdulhamid,1
Abdullah,2
Abdullrahman,1
Abdulrahman,2
Abdulwahid,1
Abdurrahman,1
Abdurrazaq,1
Abel,1
Abida,1
Abigail,2
AbigaÃ«l,1
AbigÃ©l,1
Able,1
Abraham,1
Abrar,1
Ace,1
Achim,1
Ada,4
Adaja,1
Adalberto,1
Adam,23
Adan,1
Adassa,1
Adel,1
Adela,1
Adele,3
Adelina,2
Adeline,2
Adelis,1
Adem,1
Aditya,1
Adna,1
Adnan,1
Adnane,1
Adrian,14
Adriana,2
Adriano,2
Adriano-Tiago,1
Afia,1
Afrin,1
Agamdeep,1
Agapi,1
Agbor,1
Agnes,2
Agnija,1
Agrin,1
Ahel,1
Ahmad,5
Ahmed,9
Ahmet,1
Ahu,1
Aicha,1
Aida,1
Aidan,1
Aiden,2
Ailan,1
Aimo,1
Aischa,1
Aisha,4
Ajague,1
Ajana,1
Ajla,1
Ajlina,1
Akad,1
Akanza,1
Akif,3
Akira,1
Akoth,1
Akram,2
Aksa,1
Alaa,3
Alabedeen,1
Alaja,1
Alaleh,1
Alan,3
Aland,1
Alba,3
Albashik,1
Albert,9
Albrecht,1
Alea,4
Alejandra,1
Alejandro,1
Aleksandar,1
Aleksander,2
Aleksandre,1
Alena,4
Alerio,1
Alessa,1
Alessandra,1
Alessandro,3
Alessia,6
Alessio,3
Alessio-Emilio,1
Alessya,1
Alex,3
Alexander,66
Alexandra,10
Alexandros,1
Alexandru,1
Aleya,1
Aleyna,5
Aleyza,1
Alfred,3
Alfrons,1
Ali,13
Alia,1
Alian,1
Alica,1
Alican,1
Alice,3
Alicia,4
Alicja,1
Alida,1
Alin,1
Alina,13
Alisa,1
Alisha,2
Alisijana,1
Aliso,1
Alison,1
Alissa,3
Alita,1
Aliya,5
Aliyah,1
Alma,5
Almila,1
Almin,1
Almina,1
Almir,1
Alonso,1
Aloyse,1
Alparslan,1
Alpha,1
Altan,1
Alteo,1
Alva,4
Alvin,2
Alwin,1
Alwine,1
Alya,1
Alyssa,2
Amaara,1
Amadea,1
Amadeus,1
Amal,3
Amalia,13
Amanj,1
Amar,3
Amar-Malique,1
Amara,1
Amara-Merima,1
Amarachi,1
Amaris,1
Amariyah,1
Amarsham,1
Amaru,1
Amarveer,1
Amaya,4
Amayra,1
Ambar,1
Ambra,1
Amel,1
Ameli,1
Amelia,4
Amelie,21
Ameliya,1
Amely,1
Amer,1
Amiel,1
Amilia,1
Amin,10
Amina,7
Aminata,1
Amine,5
Amir,6
Amira,11
Amira-Michelle,1
Amirkhan,1
Amna,1
Amon,2
Amos,2
Amun,1
Amy,4
Ana,3
Ana-Maria,1
Anabell,1
Anais,1
Ananda,1
Anantvir,1
Anas,5
Anastasia,6
Anastasia-Gabriela,1
Anastasia-Maria,1
Anastazja,1
Anders,1
Andrada,1
Andrea,2
Andreas,8
Andreea,1
Andrei,3
Andrej,2
Andriana,1
Andriivna,1
Andriyovych,1
AndrÃ©,3
AndrÃ©s,1
Anelisse-Stefania,1
Aneta,1
Angel,1
Angela,1
Angelina,2
Angelo,1
Aniek,1
