anzahl;vorname;geschlecht;position
66;Marie;w;2
65;Sophie;w;2
51;Leon;m;1
43;Lina;w;1
42;Paul;m;1
41;Felix;m;1
39;Mia;w;1
39;Noah;m;1
38;Maria;w;2
37;Theo;m;1
35;Leo;m;1
34;Jakob;m;1
33;Emilia;w;1
33;Adam;m;1
32;Emma;w;1
32;Liam;m;1
31;Marie;w;1
31;Henry;m;1
30;Clara;w;1
30;Elias;m;1
29;Malia;w;1
28;Anton;m;1
28;Ben;m;1
27;Lea;w;1
27;Levi;m;1
26;Milan;m;1
26;Alexander;m;2
25;Ella;w;1
25;Sophia;w;1
25;Emil;m;1
24;Hannah;w;1
24;Finn;m;1
24;Maximilian;m;1
23;Luna;w;1
23;Gabriel;m;1
23;Luca;m;1
23;Matteo;m;1
22;Lena;w;1
22;Leni;w;1
22;Mila;w;1
22;Jonas;m;1
22;Paul;m;2
20;Johanna;w;1
20;Lukas;m;1
20;Johannes;m;2
19;Romy;w;1
19;Sofia;w;1
19;Aaron;m;1
19;Charlotte;w;2
19;Maximilian;m;2
18;Amelie;w;1
18;Ayla;w;1
18;Emily;w;1
18;Lia;w;1
18;Henri;m;1
17;Hanna;w;1
17;Lara;w;1
17;Mathilda;w;1
17;Nora;w;1
17;Paula;w;1
17;Alexander;m;1
17;Leonard;m;1
17;Samuel;m;1
17;Elisabeth;w;2
16;Anna;w;1
16;Antonia;w;1
16;Elisa;w;1
16;Leonie;w;1
16;Lilly;w;1
16;Lotta;w;1
16;Sophie;w;1
16;Benjamin;m;1
16;Carlo;m;1
16;Jonathan;m;1
16;Julian;m;1
16;Linus;m;1
16;Marlon;m;1
16;Moritz;m;1
16;Theodor;m;1
15;Charlotte;w;1
15;Frieda;w;1
15;David;m;1
15;Lio;m;1
15;Mats;m;1
15;Emilia;w;2
15;Elias;m;2
14;Ida;w;1
14;Isabella;w;1
14;Luisa;w;1
14;Merle;w;1
14;Olivia;w;1
14;Max;m;1
14;Milo;m;1
14;Oskar;m;1
14;Katharina;w;2
14;Noah;m;2
14;Theodor;m;2
13;Amalia;w;1
13;Ava;w;1
13;Carla;w;1
13;Liana;w;1
13;Maria;w;1
13;Thea;w;1
13;Tilda;w;1
13;Karl;m;1
13;Kian;m;1
13;Malik;m;1
13;Emil;m;2
13;Gabriel;m;2
12;Elina;w;1
12;Eva;w;1
12;Finja;w;1
12;Adrian;m;1
12;Emilio;m;1
12;Leano;m;1
12;Lian;m;1
12;Vincent;m;1
11;Amaya;w;1
11;Juna;w;1
11;Liyana;w;1
11;Louisa;w;1
11;Malina;w;1
11;Mara;w;1
11;Marlene;w;1
11;Maya;w;1
11;Nele;w;1
11;Arian;m;1
11;Daniel;m;1
11;Johann;m;1
11;Joshua;m;1
11;Louis;m;1
11;Maxim;m;1
11;Valentin;m;1
11;Anna;w;2
11;Johanna;w;2
10;Amelia;w;1
10;Elin;w;1
