anzahl;vorname;geschlecht
155;Marie;w
131;Sophie;w
92;Maria;w
84;Maximilian;m
83;Alexander;m
74;Johanna;w
71;Jonas;m
69;Noah;m
66;Sophia;w
62;Charlotte;w
60;Felix;m
60;Anna;w
58;Paul;m
56;Anton;m
56;Emilia;w
55;Mia;w
54;Ben;m
54;Elias;m
47;Jonathan;m
46;Emma;w
44;Leon;m
44;Lina;w
41;Jakob;m
40;David;m
38;Elisabeth;w
38;Lena;w
37;Leonard;m
36;Katharina;w
36;Benjamin;m
36;Julian;m
35;Luisa;w
35;Emil;m
35;Jan;m
33;Leonie;w
33;Mila;w
33;Lukas;m
33;Max;m
33;Philipp;m
32;Clara;w
32;Ida;w
32;Johann;m
32;Niklas;m
31;Laura;w
31;Paula;w
31;Leo;m
31;Louis;m
30;Luise;w
29;Lea;w
29;Sofia;w
29;Moritz;m
28;Daniel;m
28;Julius;m
28;Tim;m
27;Leni;w
27;Marlene;w
27;Mats;m
26;Greta;w
26;Johannes;m
26;Milan;m
26;Oskar;m
26;Theo;m
26;Theodor;m
25;Victoria;w
24;Amelie;w
24;Hanna;w
24;Sarah;w
23;Josefine;w
23;Julia;w
23;Lara;w
23;Mathilda;w
23;Ali;m
23;Viktoria;w
23;Luca;m
23;Martin;m
22;Ella;w
22;Hannah;w
22;Liam;m
22;Lotta;w
22;Luis;m
22;Michael;m
22;Tom;m
22;Valentin;m
22;Vincent;m
21;Elisa;w
21;Lisa;w
21;Adam;m
21;Henri;m
21;Karl;m
21;Samuel;m
20;Antonia;w
20;Emily;w
20;Benedikt;m
20;Finn;m
20;Maxim;m
20;Wilhelm;m
19;Jana;w
19;Klara;w
19;Adrian;m
19;Florian;m
19;Gabriel;m
19;Henry;m
19;Josef;m
19;Simon;m
18;Nele;w
18;Nora;w
18;Linus;m
18;Peter;m
17;Frieda;w
17;Maya;w
17;Mira;w
17;Christian;m
16;Frida;w
16;Aaron;m
16;Carl;m
16;Fabian;m
16;Mohamed;m
16;Robin;m
16;Yusuf;m
15;Justus;m
15;Sebastian;m
15;Timo;m
14;Eva;w
14;Sara;w
14;Theresa;w
14;Clemens;m
14;Emilian;m
14;Ole;m
14;Raphael;m
14;Tobias;m
13;Ava;w
13;Carlotta;w
13;Louisa;w
13;Matilda;w
13;Hannes;m
13;Ibrahim;m
13;Joshua;m
12;Alexandra;w
12;Annika;w
12;Josephine;w
12;Lia;w
12;Maja;w
12;Mina;w
12;Pauline;w
12;Erik;m
12;Frederik;m
12;Friedrich;m
12;Fynn;m
12;Jacob;m
12;Joel;m
12;Jonah;m
12;Mika;m
12;Nicolas;m
11;Alina;w
11;Flora;w
11;Linda;w
11;Melina;w
11;Merle;w
11;Sofie;w
11;Valentina;w
11;Ahmed;m
11;Emilio;m
11;Jannis;m
11;Konstantin;m
11;Levi;m
11;Lian;m
11;Matteo;m
11;Muhammed;m
10;Elena;w
10;Elina;w
10;Emilie;w
10;Franziska;w
10;Helene;w
10;Isabella;w
10;Juna;w
10;Paulina;w
10;Arthur;m
10;Fritz;m
10;Malik;m
10;Nils;m
10;Rafael;m
9;Amalia;w
9;Helena;w
9;Isabel;w
9;Liv;w
9;Luna;w
9;Tabea;w
9;Thea;w
9;Alessio;m
9;Andreas;m
9;Constantin;m
9;Emir;m
9;Kilian;m
9;Lasse;m
9;Lennard;m
9;Leopold;m
9;Luke;m
9;Marlon;m
9;Mohammed;m
9;Otto;m
8;Alessia;w
8;Alice;w
8;Amelia;w
8;Anni;w
8;Elif;w
8;Finja;w
8;Isabell;w
8;Jasmin;w
8;Magdalena;w
8;Mariam;w
8;Marleen;w
8;Martha;w
8;Maryam;w
8;Meryem;w
8;Mohamed;w
8;Nur;w
8;Olivia;w
8;Rosa;w
8;Zoe;w
8;Arian;m
8;Bruno;m
8;Carlo;m
8;Ferdinand;m
8;Georg;m
8;Ilyas;m
8;John;m
8;Leonhard;m
8;Mathis;m
8;Mustafa;m
8;Noel;m
8;Oliver;m
8;Robert;m
8;Sam;m
7;Amira;w
7;Annelie;w
7;Dana;w
7;Elise;w
7;Lilly;w
7;Mara;w
7;Milla;w
7;Miriam;w
7;Nina;w
7;Philippa;w
7;Pia;w
7;Stella;w
7;Amir;m
7;Bennet;m
7;Damian;m
7;Dominik;m
7;Emanuel;m
7;Enno;m
7;Frederick;m
7;Gustav;m
7;Hans;m
7;Jasper;m
7;Jona;m
7;Kai;m
7;Lars;m
7;Ludwig;m
7;Matthias;m
7;Nathan;m
7;Omar;m
7;Oscar;m
7;Phil;m
7;Richard;m
7;Stefan;m
6;Alma;w
6;Carolin;w
6;Caroline;w
6;Christine;w
6;Eliana;w
6;Felicitas;w
6;Freya;w
6;Hira;w
6;Jolie;w
6;Leona;w
6;Lilli;w
6;Lily;w
6;Livia;w
6;Lotte;w
6;Madita;w
6;Margarete;w
6;Marla;w
6;Mayla;w
6;Melissa;w
6;Melody;w
6;Milena;w
6;Nour;w
6;Yasmin;w
6;Zehra;w
6;Aram;m
6;Can;m
6;Eric;m
6;Franz;m
6;Heinrich;m
6;Jannik;m
6;Jaron;m
6;Leander;m
6;Lucas;m
6;Magnus;m
6;Manuel;m
6;Milo;m
6;Mohammad;m
6;Nick;m
6;Nikolas;m
6;Pepe;m
6;Thomas;m
6;Till;m
5;Alisa;w
5;Amina;w
5;Anastasia;w
5;Aurora;w
5;Carla;w
5;Carolina;w
5;Chloé;w
5;Diana;w
5;Fiona;w
5;Henriette;w
5;Joleen;w
5;Karlotta;w
5;Khadija;w
5;Leana;w
5;Liana;w
5;Lucy;w
5;Lynn;w
5;Malia;w
5;Milana;w
5;Mona;w
5;Philine;w
5;Rosalie;w
5;Rose;w
5;Alessandro;m
5;Salome;w
5;Amadeus;m
5;Sina;w
5;Benno;m
5;Tasnim;w
5;Berat;m
5;Tessa;w
5;Bilal;m
5;Tilda;w
5;Christoph;m
5;Vanessa;w
5;Eliah;m
5;Wilhelmine;w
5;Elyas;m
5;Zeynep;w
5;Fabio;m
5;Günter;m
5;Hamza;m
5;Hassan;m
5;Henrik;m
5;Ilias;m
5;James;m
5;Karim;m
5;Kian;m
5;Konrad;m
5;Lenny;m
5;Leonardo;m
5;Levin;m
5;Malte;m
5;Marc;m
5;Marco;m
5;Maria;m
5;Mattis;m
5;Mert;m
5;Michel;m
5;Mio;m
5;Nico;m
5;Nikita;m
5;Philip;m
5;Titus;m
5;Tristan;m
5;Walter;m
5;Werner;m
5;Yousef;m
5;Youssef;m
5;Yunus;m
4;Adriana;w
4;Ahmed;w
4;Alexa;w
4;Aliya;w
4;Amélie;w
4;Ana;w
4;Anisa;w
4;Aurelia;w
4;Chiara;w
4;Christina;w
4;Claire;w
4;Dalia;w
4;Defne;w
4;Dorothea;w
4;Edda;w
4;Eleonora;w
4;Elin;w
4;Ellen;w
4;Emelie;w
4;Emmy;w
4;Gloria;w
4;Iman;w
4;Isabelle;w
4;Jamila;w
4;Janne;w
4;Jette;w
4;Jonna;w
4;Jule;w
4;Juliana;w
4;Leonora;w
4;Lucia;w
4;Ahmad;m
4;Malena;w
4;Alan;m
4;Malina;w
4;Albert;m
4;Malou;w
4;Antonius;m
4;Mariella;w
4;Artur;m
4;Mathilde;w
4;Ayman;m
4;Medina;w
4;Azad;m
4;Michelle;w
4;Cornelius;m
4;Neele;w
4;Elian;m
4;Ronja;w
4;Evan;m
4;Selma;w
4;Harun;m
4;Su;w
4;Henning;m
4;Valerie;w
4;Hugo;m
4;Vivien;w
4;Ilja;m
4;Yara;w
4;Ismael;m
4;Zoé;w
4;Ismail;m
4;Jayden;m
4;Jonne;m
4;Joris;m
4;Klaas;m
4;Kurt;m
4;Laurenz;m
4;Lennart;m
4;Lias;m
4;Marcel;m
4;Marian;m
4;Mark;m
4;Markus;m
4;Mateo;m
4;Matheo;m
4;Matti;m
4;Mike;m
4;Milian;m
4;Muhammad;m
4;Patrick;m
4;Ragnar;m
4;Ruben;m
4;Said;m
4;Salih;m
4;Timur;m
4;Umut;m
4;William;m
4;Wolfgang;m
4;Younes;m
3;Aaliyah;w
3;Alicia;w
3;Alissa;w
3;Amy;w
3;Angela;w
3;Angelika;w
3;Angelina;w
3;Anissa;w
3;Anna-Maria;w
3;Annabelle;w
3;Anne;w
3;Anouk;w
3;Aya;w
3;Ayla;w
3;Bella;w
3;Catalina;w
3;Chelsea;w
3;Delia;w
3;Dilara;w
3;Edith;w
3;Elea;w
3;Eleonore;w
3;Emely;w
3;Enisa;w
3;Erika;w
3;Eslem;w
3;Esma;w
3;Estelle;w
3;Esther;w
3;Abdul;m
3;Fabienne;w
3;Abdulrahman;m
3;Fatima;w
3;Alfons;m
3;Fatma;w
3;Amin;m
3;Feline;w
3;Anas;m
3;Friederike;w
3;Andrew;m
3;Gabriele;w
3;Antonio;m
3;Giulia;w
3;Arne;m
3;Grace;w
3;Artjom;m
3;Hailey;w
3;Arvid;m
3;Havin;w
3;Bela;m
3;Irene;w
3;Bernhard;m
3;Joanna;w
3;Boris;m
3;Joy;w
3;Carlos;m
3;Judith;w
3;Caspar;m
3;Julie;w
3;Christopher;m
3;Juno;w
3;Conrad;m
3;Karina;w
3;Davis;m
3;Karolina;w
3;Eduard;m
3;Karoline;w
3;Edwin;m
3;Kate;w
3;Emirhan;m
3;Kaur;w
3;Emmanuel;m
3;Kristina;w
3;Erich;m
3;Lamia;w
3;Eymen;m
3;Layan;w
3;Frederic;m
3;Leah;w
3;Furkan;m
3;Leandra;w
3;Gerhard;m
3;Lene;w
3;Giuliano;m
3;Leyla;w
3;Hamad;m
3;Lilia;w
3;Hendrik;m
3;Lilian;w
3;Ian;m
3;Liliana;w
3;Jannes;m
3;Linh;w
3;Jano;m
3;Linn;w
3;Janosch;m
3;Liyana;w
3;Jari;m
3;Lou;w
3;Jascha;m
3;Louise;w
3;Jerome;m
3;Luana;w
3;Joachim;m
3;Luca;w
3;Johan;m
3;Madeleine;w
3;Joseph;m
3;Mahmoud;w
3;Julien;m
3;Marina;w
3;Kaan;m
3;Marisa;w
3;Karam;m
3;Merjem;w
3;Kerem;m
3;Miray;w
3;Lionel;m
3;Naila;w
3;Lorenzo;m
3;Nicole;w
3;Luka;m
3;Nike;w
3;Marcus;m
3;Nisa;w
3;Marko;m
3;Noemi;w
3;Marten;m
3;Nuria;w
3;Mick;m
3;Rebecca;w
3;Miguel;m
3;Rebekka;w
3;Miraç;m
3;Regina;w
3;Nathaniel;m
3;Romy;w
3;Nepomuk;m
3;Ruth;w
3;Nicklas;m
3;Safiya;w
3;Niclas;m
3;Salma;w
3;Niels;m
3;Shirin;w
3;Nikolaos;m
3;Simay;w
3;Pablo;m
3;Summer;w
3;Poyraz;m
3;Talia;w
3;Rahman;m
3;Thalia;w
3;Rainer;m
3;Tiana;w
3;Rayan;m
3;Valeria;w
3;René;m
3;Vera;w
3;Roman;m
3;Zahra;w
3;Rudolf;m
3;Semih;m
3;Severin;m
3;Sven;m
3;Tilo;m
3;Tino;m
3;Tyler;m
3;Ulrich;m
3;Viktor;m
3;Yannick;m
